2,"SELECT MIN(s.z) into mydb.MyTable from PhotoObj AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE  p.objid IN (#,#)"
2019-07-17 02:01:00,1
2019-07-17 02:03:00,1
