12,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,    p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z    FROM fGetObjFromRect(#,#,#,#) n,   PhotoPrimary p    WHERE n.objID=p.objID"
2019-07-17 02:09:00,1
2019-07-17 04:35:00,1
2019-07-17 05:29:00,1
2019-07-17 05:46:00,1
2019-07-17 05:48:00,1
2019-07-17 10:20:00,1
2019-07-17 12:37:00,1
2019-07-17 13:31:00,1
2019-07-17 14:18:00,1
2019-07-17 15:34:00,1
2019-07-17 16:30:00,1
2019-07-17 16:57:00,1
