18,"SELECT up_id, dbo.fGetNearestObjIdEq(up_ra,up_dec,#) as objId   FROM #upload WHERE dbo.fGetNearestObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&'<a target=INFO href=http://skyserver.sdss.org/DR1#/en/tools/explore/obj.aspx?id=&&& + cast(x.objId as varchar(#)) + &&&>&&&+ cast(x.objId as varchar(#)) + &&&</a>&&& as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,  dbo.fPhotoTypeN(p.type) as type,  p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z,  s.specObjID, s.plate, s.mjd, s.fiberID, s.z FROM #upload u  JOIN #x x ON x.up_id = u.up_id  JOIN PhotoTag p ON p.objID = x.objID  JOIN SpecObjAll s ON p.objID = s.bestObjID ORDER by x.up_id &&&#', @log=#, @filter=#"
2019-06-18 05:01:00,1
2019-06-18 05:02:00,1
2019-06-18 05:05:00,1
2019-06-18 07:24:00,1
2019-06-18 09:18:00,1
2019-06-18 09:43:00,3
2019-06-18 09:44:00,4
2019-06-18 10:09:00,1
2019-06-18 10:21:00,1
2019-06-18 10:39:00,1
2019-06-18 11:08:00,2
2019-06-18 11:09:00,1
