24,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, ISNULL(fp.nfirstmatch,#)  FROM (   SELECT run, sum(primaryArea) AS runarea,  #e6*avg(power(cast(#. as float),#*sky_r)) as avg_sky_muJy  FROM Field  GROUP BY run  ) AS fld  LEFT OUTER JOIN (   SELECT p.run, count(*) AS nfirstmatch  FROM FIRST AS fm  INNER JOIN photoprimary as p  ON p.objid=fm.objid  GROUP BY p.run  ) AS fp  ON fld.run=fp.run  ORDER BY fld.run"
2019-06-18 03:30:00,1
2019-06-18 03:37:00,1
2019-06-18 03:43:00,1
2019-06-18 05:07:00,1
2019-06-18 05:13:00,1
2019-06-18 05:19:00,1
2019-06-18 05:42:00,1
2019-06-18 06:38:00,1
2019-06-18 06:44:00,1
2019-06-18 06:51:00,1
2019-06-18 08:28:00,1
2019-06-18 08:34:00,1
2019-06-18 08:40:00,1
2019-06-18 10:40:00,1
2019-06-18 10:47:00,1
2019-06-18 10:53:00,1
2019-06-18 11:44:00,1
2019-06-18 12:37:00,1
2019-06-18 12:44:00,1
2019-06-18 12:50:00,1
2019-06-18 13:11:00,1
2019-06-18 22:23:00,1
2019-06-18 22:25:00,1
2019-06-18 22:28:00,1
