170,"select p.ra, p.dec, s.z, p.modelmag_u, p.modelmag_g, p.modelmag_r, p.modelmag_i, p.modelmag_z, p.petromag_u, p.petromag_g, p.petromag_r, p.petromag_i, p.petromag_z, p.petroRad_r, petroR9#_r, petroR5#_r FROM fGetNearbyObjEq(#,#,#) n, PhotoObjAll p, SpecObjAll s WHERE n.objID=p.objID and p.objID=s.bestobjID"
2019-06-18 04:52:00,1
2019-06-18 04:53:00,28
2019-06-18 04:54:00,27
2019-06-18 04:55:00,27
2019-06-18 04:56:00,28
2019-06-18 04:57:00,27
2019-06-18 04:58:00,27
2019-06-18 04:59:00,5
