31,SELECT &&&
2019-06-18 06:48:00,1
2019-06-18 06:52:00,1
2019-06-18 09:27:00,1
2019-06-18 09:38:00,1
2019-06-18 09:53:00,1
2019-06-18 10:16:00,1
2019-06-18 10:37:00,1
2019-06-18 10:52:00,1
2019-06-18 11:09:00,1
2019-06-18 11:25:00,1
2019-06-18 11:27:00,1
2019-06-18 12:06:00,1
2019-06-18 12:44:00,1
2019-06-18 12:46:00,1
2019-06-18 13:04:00,1
2019-06-18 13:23:00,1
2019-06-18 13:39:00,2
2019-06-18 13:40:00,1
2019-06-18 13:58:00,1
2019-06-18 14:16:00,1
2019-06-18 14:33:00,1
2019-06-18 14:50:00,1
2019-06-18 15:06:00,1
2019-06-18 15:23:00,1
2019-06-18 15:39:00,1
2019-06-18 15:59:00,1
2019-06-18 16:16:00,1
2019-06-18 16:35:00,1
2019-06-18 16:54:00,1
2019-06-18 17:10:00,1
