424,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-06-18 18:28:00,5
2019-06-18 18:29:00,12
2019-06-18 18:30:00,13
2019-06-18 18:31:00,13
2019-06-18 18:32:00,10
2019-06-18 18:33:00,12
2019-06-18 18:34:00,13
2019-06-18 18:35:00,10
2019-06-18 18:36:00,14
2019-06-18 18:37:00,10
2019-06-18 18:38:00,7
2019-06-18 18:39:00,11
2019-06-18 18:40:00,13
2019-06-18 18:41:00,12
2019-06-18 18:42:00,14
2019-06-18 18:43:00,15
2019-06-18 18:44:00,20
2019-06-18 18:45:00,12
2019-06-18 18:46:00,12
2019-06-18 18:47:00,12
2019-06-18 18:48:00,12
2019-06-18 18:49:00,14
2019-06-18 18:50:00,13
2019-06-18 18:51:00,10
2019-06-18 18:52:00,12
2019-06-18 18:53:00,11
2019-06-18 18:54:00,11
2019-06-18 18:55:00,11
2019-06-18 18:56:00,11
2019-06-18 18:57:00,11
2019-06-18 18:58:00,12
2019-06-18 18:59:00,12
2019-06-18 19:00:00,14
2019-06-18 19:01:00,16
2019-06-18 19:02:00,14
