76,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns(&&&) ORDER BY [columnID]"
2019-06-18 00:55:00,1
2019-06-18 00:56:00,1
2019-06-18 03:54:00,1
2019-06-18 06:07:00,3
2019-06-18 07:02:00,1
2019-06-18 07:10:00,1
2019-06-18 07:11:00,1
2019-06-18 07:13:00,1
2019-06-18 07:35:00,1
2019-06-18 07:40:00,1
2019-06-18 08:42:00,1
2019-06-18 10:16:00,1
2019-06-18 11:01:00,1
2019-06-18 11:09:00,1
2019-06-18 11:13:00,2
2019-06-18 12:20:00,1
2019-06-18 13:29:00,1
2019-06-18 14:54:00,1
2019-06-18 15:00:00,1
2019-06-18 15:32:00,1
2019-06-18 15:35:00,1
2019-06-18 15:39:00,1
2019-06-18 15:51:00,1
2019-06-18 15:53:00,3
2019-06-18 15:54:00,5
2019-06-18 15:57:00,2
2019-06-18 15:59:00,1
2019-06-18 16:02:00,1
2019-06-18 16:11:00,1
2019-06-18 16:44:00,1
2019-06-18 17:51:00,1
2019-06-18 18:07:00,1
2019-06-18 18:09:00,2
2019-06-18 18:10:00,1
2019-06-18 18:11:00,1
2019-06-18 18:24:00,2
2019-06-18 18:35:00,1
2019-06-18 19:08:00,1
2019-06-18 19:33:00,1
2019-06-18 20:16:00,1
2019-06-18 20:17:00,1
2019-06-18 20:23:00,1
2019-06-18 20:24:00,1
2019-06-18 20:25:00,2
2019-06-18 21:37:00,1
2019-06-18 21:38:00,1
2019-06-18 21:44:00,2
2019-06-18 21:45:00,1
2019-06-18 22:55:00,1
2019-06-18 23:00:00,1
2019-06-18 23:05:00,1
2019-06-18 23:31:00,1
2019-06-18 23:34:00,1
2019-06-18 23:45:00,1
2019-06-18 23:54:00,3
2019-06-18 23:55:00,1
2019-06-18 23:56:00,2
2019-06-18 23:57:00,2
