9,"SELECT s.ra as ra, s.dec as dec, s.z as z, p.petroMag_r as mag, p.petroRad_r as radius, pz.z as photoz  FROM specObj s  INNER JOIN PhotoObj p ON s.bestObjID = p.objID  INNER JOIN Photoz pz ON pz.objID = p.objID  WHERE s.ra BETWEEN # AND #  AND s.dec BETWEEN # AND # AND s.specClass = #"
2019-06-18 09:01:00,2
2019-06-18 09:03:00,5
2019-06-18 10:54:00,2
