17,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-11-13 08:04:00,2
2019-11-13 10:14:00,1
2019-11-13 11:56:00,1
2019-11-13 13:05:00,1
2019-11-13 13:08:00,1
2019-11-13 13:09:00,1
2019-11-13 14:58:00,1
2019-11-13 15:05:00,1
2019-11-13 15:53:00,1
2019-11-13 15:54:00,1
2019-11-13 16:44:00,1
2019-11-13 18:05:00,1
2019-11-13 18:11:00,1
2019-11-13 20:34:00,1
2019-11-13 21:50:00,1
2019-11-13 23:03:00,1
