55,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-11-13 14:05:00,1
2019-11-13 16:05:00,2
2019-11-13 16:06:00,2
2019-11-13 16:07:00,1
2019-11-13 16:08:00,3
2019-11-13 18:15:00,1
2019-11-13 18:24:00,1
2019-11-13 18:25:00,1
2019-11-13 18:26:00,2
2019-11-13 18:30:00,1
2019-11-13 18:32:00,1
2019-11-13 18:36:00,1
2019-11-13 18:43:00,1
2019-11-13 18:44:00,1
2019-11-13 18:45:00,1
2019-11-13 18:46:00,1
2019-11-13 18:49:00,2
2019-11-13 18:50:00,1
2019-11-13 18:51:00,1
2019-11-13 18:53:00,2
2019-11-13 18:54:00,1
2019-11-13 18:56:00,2
2019-11-13 18:57:00,1
2019-11-13 18:58:00,2
2019-11-13 19:00:00,1
2019-11-13 19:08:00,1
2019-11-13 19:10:00,1
2019-11-13 19:11:00,2
2019-11-13 19:12:00,1
2019-11-13 19:16:00,1
2019-11-13 19:17:00,2
2019-11-13 19:20:00,1
2019-11-13 19:44:00,2
2019-11-13 19:46:00,1
2019-11-13 19:49:00,1
2019-11-13 20:46:00,1
2019-11-13 20:47:00,1
2019-11-13 21:00:00,1
2019-11-13 21:01:00,1
2019-11-13 22:14:00,1
2019-11-13 22:15:00,1
2019-11-13 22:21:00,2
