1831,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-11-13 00:47:00,1
2019-11-13 01:35:00,48
2019-11-13 01:36:00,145
2019-11-13 01:37:00,149
2019-11-13 01:38:00,144
2019-11-13 01:39:00,150
2019-11-13 01:40:00,145
2019-11-13 01:41:00,148
2019-11-13 01:42:00,140
2019-11-13 01:43:00,145
2019-11-13 01:44:00,141
2019-11-13 01:45:00,143
2019-11-13 01:46:00,144
2019-11-13 01:47:00,80
2019-11-13 02:46:00,1
2019-11-13 03:34:00,9
2019-11-13 03:43:00,9
2019-11-13 03:45:00,1
2019-11-13 03:51:00,9
2019-11-13 04:02:00,9
2019-11-13 04:47:00,1
2019-11-13 05:45:00,1
2019-11-13 06:45:00,1
2019-11-13 07:45:00,1
2019-11-13 07:50:00,1
2019-11-13 08:45:00,1
2019-11-13 09:45:00,1
2019-11-13 10:44:00,1
2019-11-13 11:45:00,1
2019-11-13 12:45:00,1
2019-11-13 13:45:00,1
2019-11-13 13:53:00,9
2019-11-13 14:03:00,9
2019-11-13 14:43:00,9
2019-11-13 14:45:00,1
2019-11-13 15:24:00,9
2019-11-13 15:29:00,9
2019-11-13 15:45:00,1
2019-11-13 16:46:00,1
2019-11-13 16:52:00,9
2019-11-13 17:46:00,1
2019-11-13 18:46:00,1
