23,"SELECT p.objId, p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid, n.sersic_n FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid    JOIN nsatlas AS n ON n.mjd = s.mjd and n.fiberID = s.fiberID and n.plate = s.plate WHERE p.petror9#_r > #   and p.ra between # and #   and s.z between # and #   and p.g < #"
2019-11-13 10:56:00,1
2019-11-13 11:34:00,1
2019-11-13 11:35:00,1
2019-11-13 11:41:00,1
2019-11-13 11:43:00,2
2019-11-13 11:51:00,1
2019-11-13 11:52:00,1
2019-11-13 11:54:00,1
2019-11-13 11:58:00,2
2019-11-13 11:59:00,1
2019-11-13 12:01:00,1
2019-11-13 12:02:00,2
2019-11-13 12:03:00,1
2019-11-13 12:06:00,1
2019-11-13 12:07:00,1
2019-11-13 12:13:00,1
2019-11-13 12:19:00,1
2019-11-13 12:29:00,1
2019-11-13 12:30:00,1
2019-11-13 12:35:00,1
