17,"select count(*) from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and (p.r BETWEEN # AND #)"
2019-11-13 17:33:00,1
2019-11-13 17:34:00,1
2019-11-13 17:41:00,1
2019-11-13 17:42:00,1
2019-11-13 17:44:00,1
2019-11-13 17:45:00,2
2019-11-13 17:46:00,1
2019-11-13 17:47:00,1
2019-11-13 17:51:00,1
2019-11-13 17:52:00,1
2019-11-13 17:53:00,1
2019-11-13 17:54:00,1
2019-11-13 17:55:00,1
2019-11-13 17:56:00,1
2019-11-13 17:57:00,1
2019-11-13 18:06:00,1
