201,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  f.z as photoz, f.zErr as photoZerr, GN.distance,  s.specobjid, s.class, s.z as redshift, s.zErr as errredshift, s.plate, s.mjd, s.fiberid  FROM PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#, #) AS GN on p.objid = GN.objid   join Photoz as f ON f.objid = GN.objid   LEFT OUTER JOIN SpecObj AS s ON s.bestobjid = GN.objid"
2019-11-13 10:24:00,10
2019-11-13 10:25:00,3
2019-11-13 10:36:00,13
2019-11-13 10:37:00,6
2019-11-13 10:38:00,7
2019-11-13 10:52:00,13
2019-11-13 10:56:00,13
2019-11-13 11:03:00,13
2019-11-13 13:07:00,13
2019-11-13 13:28:00,13
2019-11-13 16:22:00,13
2019-11-13 16:32:00,11
2019-11-13 16:33:00,2
2019-11-13 16:42:00,13
2019-11-13 17:08:00,1
2019-11-13 17:09:00,1
2019-11-13 17:10:00,13
2019-11-13 17:12:00,13
2019-11-13 17:24:00,4
2019-11-13 17:25:00,13
2019-11-13 17:35:00,13
