14,"SELECT   ra, dec,   u, g, r, i, z,   err_u, err_g, err_r,err_i, err_z into mydb.ra3#_# from PhotoPrimary                          WHERE ( i > # )    and ( i < # )    and ( ra >= # )   and ( ra < # )"
2019-06-03 05:21:00,1
2019-06-03 05:29:00,1
2019-06-03 05:36:00,1
2019-06-03 05:44:00,1
2019-06-03 05:46:00,1
2019-06-03 05:55:00,1
2019-06-03 09:11:00,1
2019-06-03 09:17:00,1
2019-06-03 09:24:00,1
2019-06-03 09:30:00,1
2019-06-03 09:36:00,1
2019-06-03 09:42:00,1
2019-06-03 09:48:00,1
2019-06-03 09:55:00,1
