25,select count(*) as thecount
2019-06-03 13:56:00,1
2019-06-03 14:03:00,1
2019-06-03 14:08:00,1
2019-06-03 14:11:00,1
2019-06-03 14:17:00,1
2019-06-03 14:31:00,1
2019-06-03 14:33:00,1
2019-06-03 14:38:00,1
2019-06-03 14:40:00,1
2019-06-03 14:41:00,1
2019-06-03 14:44:00,1
2019-06-03 14:51:00,1
2019-06-03 16:03:00,1
2019-06-03 16:07:00,1
2019-06-03 16:19:00,2
2019-06-03 16:21:00,1
2019-06-03 16:23:00,1
2019-06-03 17:28:00,3
2019-06-03 17:32:00,1
2019-06-03 17:36:00,1
2019-06-03 17:39:00,1
2019-06-03 17:41:00,1
