3,"SELECT TOP # p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN(p.type) as type, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj as p JOIN SpecObj as s ON s.bestobjid = p.objid WHERE (s.class = &&&)"
2019-06-03 23:53:00,1
2019-06-03 23:54:00,2
