760,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-03 12:30:00,21
2019-06-03 12:31:00,42
2019-06-03 12:32:00,2
2019-06-03 12:33:00,39
2019-06-03 12:34:00,35
2019-06-03 12:37:00,12
2019-06-03 13:16:00,2
2019-06-03 13:17:00,23
2019-06-03 13:18:00,7
2019-06-03 13:20:00,5
2019-06-03 13:21:00,12
2019-06-03 13:35:00,57
2019-06-03 13:36:00,17
2019-06-03 13:39:00,19
2019-06-03 13:40:00,139
2019-06-03 14:03:00,12
2019-06-03 14:57:00,143
2019-06-03 14:58:00,173
