3,"SELECT objID, ra, dec, u, g, r, i, z, err_u, err_g, err_r, err_i, err_z WHERE ra BETWEEN # AND #    AND dec BETWEEN # AND # into mydb.MyTable"
2019-06-03 05:05:00,2
2019-06-03 05:06:00,1
