4444,"SELECT p.ra, p.dec, p.modelFlux_u, p.modelFlux_g, p.modelFlux_r, p.modelFlux_i, p.modelFlux_z, p.modelFluxIvar_u, p.modelFluxIvar_g, p.modelFluxIvar_r, p.modelFluxIvar_i, p.modelFluxIvar_z, d.w1flux, d.w2flux, d.w3flux, d.w4flux, d.w1sigflux, d.w2sigflux, d.w3sigflux, d.w4sigflux FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON p.objID = GN.objID LEFT JOIN WISE_xmatch as c on p.ObjID=c.sdss_objid LEFT JOIN WISE_allsky as d on c.wise_cntr=d.cntr"
2019-05-13 15:45:00,10
2019-05-13 15:46:00,12
2019-05-13 15:47:00,11
2019-05-13 15:48:00,12
2019-05-13 15:49:00,10
2019-05-13 15:50:00,11
2019-05-13 15:51:00,9
2019-05-13 15:52:00,9
2019-05-13 15:53:00,11
2019-05-13 15:54:00,10
2019-05-13 15:55:00,10
2019-05-13 15:56:00,9
2019-05-13 15:57:00,10
2019-05-13 15:58:00,8
2019-05-13 15:59:00,9
2019-05-13 16:00:00,9
2019-05-13 16:01:00,11
2019-05-13 16:02:00,9
2019-05-13 16:03:00,8
2019-05-13 16:04:00,12
2019-05-13 16:05:00,7
2019-05-13 16:06:00,12
2019-05-13 16:07:00,13
2019-05-13 16:08:00,12
2019-05-13 16:09:00,8
2019-05-13 16:10:00,14
2019-05-13 16:11:00,10
2019-05-13 16:12:00,10
2019-05-13 16:13:00,11
2019-05-13 16:14:00,8
2019-05-13 16:15:00,7
2019-05-13 16:16:00,10
2019-05-13 16:17:00,10
2019-05-13 16:18:00,11
2019-05-13 16:19:00,12
2019-05-13 16:20:00,11
2019-05-13 16:21:00,12
2019-05-13 16:22:00,11
2019-05-13 16:23:00,10
2019-05-13 16:24:00,12
2019-05-13 16:25:00,7
2019-05-13 16:26:00,11
2019-05-13 16:27:00,11
2019-05-13 16:28:00,10
2019-05-13 16:29:00,10
2019-05-13 16:30:00,10
2019-05-13 16:31:00,9
2019-05-13 16:32:00,11
2019-05-13 16:33:00,9
2019-05-13 16:34:00,9
2019-05-13 16:35:00,13
2019-05-13 16:36:00,9
2019-05-13 16:37:00,12
2019-05-13 16:38:00,10
2019-05-13 16:39:00,11
2019-05-13 16:40:00,10
2019-05-13 16:41:00,12
2019-05-13 16:42:00,10
2019-05-13 16:43:00,12
2019-05-13 16:44:00,8
2019-05-13 16:45:00,13
2019-05-13 16:46:00,8
2019-05-13 16:47:00,12
2019-05-13 16:48:00,8
2019-05-13 16:49:00,11
2019-05-13 16:50:00,12
2019-05-13 16:51:00,12
2019-05-13 16:52:00,11
2019-05-13 16:53:00,7
2019-05-13 16:54:00,12
2019-05-13 16:55:00,10
2019-05-13 16:56:00,13
2019-05-13 16:57:00,7
2019-05-13 16:58:00,9
2019-05-13 16:59:00,9
2019-05-13 17:00:00,12
2019-05-13 17:01:00,9
2019-05-13 17:02:00,10
2019-05-13 17:03:00,9
2019-05-13 17:04:00,12
2019-05-13 17:05:00,10
2019-05-13 17:06:00,14
2019-05-13 17:07:00,11
2019-05-13 17:08:00,11
2019-05-13 17:09:00,11
2019-05-13 17:10:00,13
2019-05-13 17:11:00,10
2019-05-13 17:12:00,5
2019-05-13 17:13:00,9
2019-05-13 17:14:00,13
2019-05-13 17:15:00,11
2019-05-13 17:16:00,12
2019-05-13 17:17:00,10
2019-05-13 17:18:00,13
2019-05-13 17:19:00,12
2019-05-13 17:20:00,5
