28,"SELECT   s.ra,   s.dec,   theta = (#*#)/(#*s.z),   s.z,   s.zErr,   q =    CASE     WHEN p.lnLExp_r < p.lnLDeV_r THEN p.DeVAB_r     WHEN p.lnLExp_r > p.lnLDeV_r THEN p.expAB_r   END,   phi =    CASE     WHEN p.lnLExp_r < p.lnLDeV_r THEN p.DeVPhi_r     WHEN p.lnLExp_r > p.lnLDeV_r THEN p.expPhi_r   END,   p.petroMag_r,   p.petroMag_u,   p.fracDeV_r   FROM PhotoObj p   JOIN SpecObj s ON s.bestObjID = p.objID  WHERE   s.ra BETWEEN # and # AND   s.dec BETWEEN # and # AND   s.class = &&& AND   s.z < # AND   s.z > #e-# AND    abs(s.zErr) < #e-# AND   s.zWarning = #"
2019-05-13 10:10:00,1
2019-05-13 10:11:00,1
2019-05-13 11:07:00,1
2019-05-13 11:15:00,1
2019-05-13 11:21:00,1
2019-05-13 11:26:00,1
2019-05-13 11:33:00,1
2019-05-13 11:39:00,1
2019-05-13 11:46:00,1
2019-05-13 11:50:00,1
2019-05-13 11:54:00,1
2019-05-13 11:58:00,1
2019-05-13 12:03:00,1
2019-05-13 12:11:00,1
2019-05-13 12:21:00,1
2019-05-13 12:27:00,1
2019-05-13 12:30:00,1
2019-05-13 12:34:00,1
2019-05-13 12:38:00,1
2019-05-13 12:41:00,1
2019-05-13 12:45:00,1
2019-05-13 12:50:00,1
2019-05-13 12:52:00,1
2019-05-13 12:56:00,1
2019-05-13 13:05:00,1
2019-05-13 13:08:00,1
2019-05-13 13:12:00,1
2019-05-13 13:14:00,1
