63,"SELECT p.ra,p.dec,   p.psfmag_g,p.psfMagErr_g,   p.psfmag_r,p.psfMagErr_r,   p.psfmag_i,p.psfMagErr_i,   p.psfmag_z,p.psfMagErr_z,   f.mjd_r,f.mjd_g,f.mjd_i,f.mjd_z   FROM PhotoObjAll p   JOIN field as f on p.fieldid = f.fieldid   WHERE ra between # and #   and dec between # and #   and p.parentID = #   order by f.mjd_r"
2019-05-13 17:51:00,3
2019-05-13 17:55:00,1
2019-05-13 18:10:00,1
2019-05-13 18:11:00,1
2019-05-13 18:13:00,1
2019-05-13 18:15:00,1
2019-05-13 18:16:00,1
2019-05-13 18:17:00,3
2019-05-13 18:19:00,1
2019-05-13 18:20:00,5
2019-05-13 18:21:00,5
2019-05-13 18:23:00,5
2019-05-13 18:25:00,1
2019-05-13 18:26:00,1
2019-05-13 18:27:00,1
2019-05-13 18:28:00,1
2019-05-13 18:31:00,1
2019-05-13 18:32:00,2
2019-05-13 18:33:00,1
2019-05-13 18:34:00,1
2019-05-13 18:36:00,1
2019-05-13 18:37:00,2
2019-05-13 18:38:00,2
2019-05-13 18:42:00,1
2019-05-13 18:50:00,2
2019-05-13 18:51:00,3
2019-05-13 18:54:00,1
2019-05-13 18:58:00,2
2019-05-13 19:01:00,1
2019-05-13 19:05:00,1
2019-05-13 19:08:00,1
2019-05-13 19:14:00,1
2019-05-13 19:17:00,1
2019-05-13 19:24:00,1
2019-05-13 19:26:00,2
2019-05-13 19:27:00,1
2019-05-13 19:28:00,2
2019-05-13 19:30:00,1
