1995,"SELECT u.up_obj_id as [obj_id], x.objID, p.ra, p.dec, p.psfMag_u, p.psfMagerr_u, p.psfMag_g, p.psfMagerr_g, p.psfMag_r, p.psfMagerr_r, p.psfMag_i, p.psfMagerr_i, p.psfMag_z, p.psfMagerr_z, p.objID as obj_id,dbo.fPhotoTypeN(p.type) as type                       FROM #upload u JOIN #x x ON x.up_id = u.up_id                       JOIN PhotoObjAll p ON p.objID = x.objID ORDER BY x.up_id"
2019-08-30 05:59:00,20
2019-08-30 06:00:00,25
2019-08-30 06:01:00,24
2019-08-30 06:02:00,26
2019-08-30 06:03:00,25
2019-08-30 06:04:00,26
2019-08-30 06:05:00,21
2019-08-30 06:06:00,25
2019-08-30 06:07:00,26
2019-08-30 06:08:00,26
2019-08-30 06:09:00,26
2019-08-30 06:10:00,26
2019-08-30 06:11:00,26
2019-08-30 06:12:00,26
2019-08-30 06:13:00,26
2019-08-30 06:14:00,26
2019-08-30 06:15:00,26
2019-08-30 06:16:00,26
2019-08-30 06:17:00,26
2019-08-30 06:18:00,25
2019-08-30 06:19:00,26
2019-08-30 06:20:00,27
2019-08-30 06:21:00,26
2019-08-30 06:22:00,26
2019-08-30 06:23:00,25
2019-08-30 06:24:00,26
2019-08-30 06:25:00,26
2019-08-30 06:26:00,26
2019-08-30 06:27:00,26
2019-08-30 06:28:00,26
2019-08-30 06:29:00,26
2019-08-30 06:30:00,25
2019-08-30 06:31:00,26
2019-08-30 06:32:00,26
2019-08-30 06:33:00,26
2019-08-30 06:34:00,26
2019-08-30 06:35:00,26
2019-08-30 06:36:00,25
2019-08-30 06:37:00,26
2019-08-30 06:38:00,26
2019-08-30 06:39:00,4
2019-08-30 06:42:00,17
2019-08-30 06:43:00,16
2019-08-30 06:44:00,26
2019-08-30 06:45:00,26
2019-08-30 06:46:00,26
2019-08-30 06:47:00,26
2019-08-30 06:48:00,25
2019-08-30 06:49:00,27
2019-08-30 06:50:00,26
2019-08-30 06:51:00,26
2019-08-30 06:52:00,26
2019-08-30 06:53:00,26
2019-08-30 06:54:00,26
2019-08-30 06:55:00,26
2019-08-30 06:56:00,26
2019-08-30 06:57:00,26
2019-08-30 06:58:00,26
2019-08-30 06:59:00,26
2019-08-30 07:00:00,26
2019-08-30 07:01:00,26
2019-08-30 07:02:00,26
2019-08-30 07:03:00,26
2019-08-30 07:04:00,26
2019-08-30 07:05:00,27
2019-08-30 07:06:00,25
2019-08-30 07:07:00,26
2019-08-30 07:08:00,19
2019-08-30 07:09:00,23
2019-08-30 07:10:00,26
2019-08-30 07:11:00,26
2019-08-30 07:12:00,26
2019-08-30 07:13:00,26
2019-08-30 07:14:00,26
2019-08-30 07:15:00,26
2019-08-30 07:16:00,26
2019-08-30 07:17:00,26
2019-08-30 07:18:00,26
2019-08-30 07:19:00,26
2019-08-30 07:20:00,11
