143,select * from Photoz2 where objid=#
2019-08-30 01:37:00,1
2019-08-30 01:39:00,1
2019-08-30 04:47:00,1
2019-08-30 14:15:00,1
2019-08-30 16:24:00,3
2019-08-30 16:25:00,2
2019-08-30 16:26:00,3
2019-08-30 16:27:00,2
2019-08-30 16:28:00,1
2019-08-30 16:29:00,5
2019-08-30 16:30:00,4
2019-08-30 16:31:00,3
2019-08-30 16:32:00,1
2019-08-30 16:33:00,2
2019-08-30 16:34:00,3
2019-08-30 16:35:00,2
2019-08-30 16:36:00,3
2019-08-30 16:37:00,6
2019-08-30 16:38:00,1
2019-08-30 18:40:00,1
2019-08-30 18:53:00,1
2019-08-30 18:54:00,1
2019-08-30 18:55:00,1
2019-08-30 18:57:00,1
2019-08-30 19:01:00,2
2019-08-30 19:02:00,1
2019-08-30 19:03:00,2
2019-08-30 19:07:00,3
2019-08-30 19:08:00,2
2019-08-30 19:11:00,1
2019-08-30 19:12:00,1
2019-08-30 19:13:00,1
2019-08-30 19:14:00,1
2019-08-30 19:15:00,1
2019-08-30 19:17:00,4
2019-08-30 19:19:00,2
2019-08-30 19:20:00,2
2019-08-30 19:21:00,2
2019-08-30 19:22:00,1
2019-08-30 19:23:00,1
2019-08-30 19:24:00,1
2019-08-30 19:26:00,1
2019-08-30 19:38:00,2
2019-08-30 19:39:00,1
2019-08-30 19:40:00,4
2019-08-30 19:41:00,3
2019-08-30 19:42:00,4
2019-08-30 19:43:00,4
2019-08-30 19:44:00,1
2019-08-30 19:45:00,1
2019-08-30 19:46:00,2
2019-08-30 19:47:00,3
2019-08-30 19:48:00,3
2019-08-30 19:49:00,1
2019-08-30 19:50:00,1
2019-08-30 19:51:00,2
2019-08-30 19:52:00,2
2019-08-30 19:53:00,2
2019-08-30 19:54:00,2
2019-08-30 19:55:00,3
2019-08-30 19:56:00,3
2019-08-30 19:57:00,4
2019-08-30 19:58:00,2
2019-08-30 19:59:00,3
2019-08-30 20:00:00,3
2019-08-30 20:01:00,2
2019-08-30 20:02:00,5
2019-08-30 20:05:00,1
