31,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p WHERE n.objID=p.objID"
2019-08-30 08:06:00,1
2019-08-30 08:10:00,1
2019-08-30 08:14:00,1
2019-08-30 08:18:00,1
2019-08-30 08:22:00,1
2019-08-30 08:27:00,1
2019-08-30 08:31:00,1
2019-08-30 08:35:00,1
2019-08-30 08:39:00,1
2019-08-30 08:46:00,1
2019-08-30 08:52:00,1
2019-08-30 09:02:00,1
2019-08-30 09:09:00,1
2019-08-30 09:15:00,1
2019-08-30 09:21:00,1
2019-08-30 09:28:00,1
2019-08-30 09:36:00,1
2019-08-30 09:45:00,1
2019-08-30 09:53:00,1
2019-08-30 10:02:00,1
2019-08-30 10:12:00,1
2019-08-30 10:23:00,1
2019-08-30 10:33:00,1
2019-08-30 10:44:00,1
2019-08-30 10:57:00,1
2019-08-30 11:09:00,1
2019-08-30 11:22:00,1
2019-08-30 11:37:00,1
2019-08-30 11:51:00,1
2019-08-30 12:08:00,1
2019-08-30 12:25:00,1
