22,"select p.ra, p.dec, p.z, p.Err_z from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_z <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-08-30 06:18:00,1
2019-08-30 06:44:00,1
2019-08-30 07:51:00,1
2019-08-30 07:57:00,1
2019-08-30 08:11:00,1
2019-08-30 08:24:00,1
2019-08-30 09:21:00,1
2019-08-30 11:12:00,1
2019-08-30 12:46:00,1
2019-08-30 12:56:00,1
2019-08-30 13:02:00,1
2019-08-30 13:08:00,1
2019-08-30 13:46:00,1
2019-08-30 13:58:00,1
2019-08-30 14:08:00,1
2019-08-30 14:19:00,1
2019-08-30 14:29:00,1
2019-08-30 17:14:00,1
2019-08-30 17:30:00,1
2019-08-30 17:46:00,1
2019-08-30 18:03:00,1
2019-08-30 18:15:00,1
