17,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_i <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-08-30 06:16:00,1
2019-08-30 06:42:00,1
2019-08-30 07:50:00,1
2019-08-30 07:55:00,1
2019-08-30 08:10:00,1
2019-08-30 09:18:00,1
2019-08-30 12:44:00,1
2019-08-30 12:55:00,1
2019-08-30 13:00:00,1
2019-08-30 13:45:00,1
2019-08-30 13:57:00,1
2019-08-30 14:18:00,1
2019-08-30 14:27:00,1
2019-08-30 17:12:00,1
2019-08-30 17:29:00,1
2019-08-30 17:44:00,1
2019-08-30 18:01:00,1
