20,"select p.ra, p.dec, p.g, p.Err_g from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_g <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-08-30 06:16:00,1
2019-08-30 06:43:00,1
2019-08-30 07:48:00,1
2019-08-30 07:52:00,1
2019-08-30 08:07:00,1
2019-08-30 09:18:00,1
2019-08-30 12:41:00,1
2019-08-30 12:47:00,1
2019-08-30 12:53:00,1
2019-08-30 12:57:00,1
2019-08-30 13:03:00,1
2019-08-30 13:55:00,1
2019-08-30 14:03:00,1
2019-08-30 14:16:00,1
2019-08-30 14:25:00,1
2019-08-30 17:09:00,1
2019-08-30 17:26:00,1
2019-08-30 17:39:00,1
2019-08-30 17:59:00,1
2019-08-30 18:09:00,1
