18,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-08-30 06:16:00,1
2019-08-30 06:42:00,1
2019-08-30 07:49:00,1
2019-08-30 07:54:00,1
2019-08-30 08:08:00,1
2019-08-30 09:18:00,1
2019-08-30 12:43:00,1
2019-08-30 12:48:00,1
2019-08-30 12:54:00,1
2019-08-30 12:59:00,1
2019-08-30 13:44:00,1
2019-08-30 13:56:00,1
2019-08-30 14:17:00,1
2019-08-30 14:26:00,1
2019-08-30 17:11:00,1
2019-08-30 17:27:00,1
2019-08-30 17:42:00,1
2019-08-30 18:00:00,1
