117,select * from ELRedshift where specObjId=#
2019-08-30 01:16:00,6
2019-08-30 01:18:00,3
2019-08-30 01:19:00,1
2019-08-30 08:18:00,1
2019-08-30 09:24:00,1
2019-08-30 12:44:00,1
2019-08-30 15:51:00,1
2019-08-30 16:26:00,1
2019-08-30 16:27:00,1
2019-08-30 16:28:00,1
2019-08-30 16:31:00,1
2019-08-30 16:32:00,5
2019-08-30 16:33:00,3
2019-08-30 16:34:00,2
2019-08-30 16:35:00,2
2019-08-30 16:36:00,2
2019-08-30 16:37:00,3
2019-08-30 16:38:00,1
2019-08-30 18:54:00,1
2019-08-30 18:55:00,1
2019-08-30 18:57:00,1
2019-08-30 19:00:00,2
2019-08-30 19:01:00,1
2019-08-30 19:02:00,2
2019-08-30 19:03:00,3
2019-08-30 19:04:00,1
2019-08-30 19:07:00,1
2019-08-30 19:08:00,2
2019-08-30 19:09:00,1
2019-08-30 19:11:00,2
2019-08-30 19:12:00,3
2019-08-30 19:13:00,1
2019-08-30 19:14:00,1
2019-08-30 19:17:00,1
2019-08-30 19:18:00,1
2019-08-30 19:19:00,3
2019-08-30 19:21:00,1
2019-08-30 19:22:00,1
2019-08-30 19:24:00,2
2019-08-30 19:25:00,3
2019-08-30 19:26:00,1
2019-08-30 19:32:00,1
2019-08-30 19:41:00,1
2019-08-30 19:42:00,2
2019-08-30 19:43:00,3
2019-08-30 19:44:00,3
2019-08-30 19:45:00,2
2019-08-30 19:46:00,2
2019-08-30 19:47:00,2
2019-08-30 19:48:00,3
2019-08-30 19:49:00,1
2019-08-30 19:50:00,1
2019-08-30 19:51:00,5
2019-08-30 19:52:00,2
2019-08-30 19:53:00,2
2019-08-30 19:54:00,3
2019-08-30 19:55:00,3
2019-08-30 19:57:00,3
2019-08-30 19:58:00,2
2019-08-30 20:00:00,1
2019-08-30 20:01:00,1
2019-08-30 20:02:00,2
