10983,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-06-21 00:00:00,10
2019-06-21 00:01:00,25
2019-06-21 00:02:00,6
2019-06-21 00:03:00,15
2019-06-21 00:04:00,16
2019-06-21 00:07:00,3
2019-06-21 00:08:00,1
2019-06-21 00:10:00,9
2019-06-21 00:11:00,26
2019-06-21 00:12:00,6
2019-06-21 00:13:00,15
2019-06-21 00:14:00,16
2019-06-21 00:17:00,3
2019-06-21 00:18:00,1
2019-06-21 00:20:00,9
2019-06-21 00:21:00,25
2019-06-21 00:22:00,7
2019-06-21 00:23:00,15
2019-06-21 00:24:00,16
2019-06-21 00:27:00,3
2019-06-21 00:28:00,1
2019-06-21 00:30:00,9
2019-06-21 00:31:00,25
2019-06-21 00:32:00,7
2019-06-21 00:33:00,15
2019-06-21 00:34:00,16
2019-06-21 00:37:00,3
2019-06-21 00:38:00,1
2019-06-21 00:40:00,9
2019-06-21 00:41:00,25
2019-06-21 00:42:00,7
2019-06-21 00:43:00,15
2019-06-21 00:44:00,16
2019-06-21 00:47:00,3
2019-06-21 00:48:00,1
2019-06-21 00:50:00,9
2019-06-21 00:51:00,25
2019-06-21 00:52:00,7
2019-06-21 00:53:00,15
2019-06-21 00:54:00,16
2019-06-21 00:57:00,3
2019-06-21 00:58:00,1
2019-06-21 01:00:00,9
2019-06-21 01:01:00,25
2019-06-21 01:02:00,7
2019-06-21 01:03:00,15
2019-06-21 01:04:00,16
2019-06-21 01:07:00,3
2019-06-21 01:08:00,1
2019-06-21 01:10:00,9
2019-06-21 01:11:00,25
2019-06-21 01:12:00,7
2019-06-21 01:13:00,15
2019-06-21 01:14:00,16
2019-06-21 01:17:00,4
2019-06-21 01:18:00,1
2019-06-21 01:20:00,9
2019-06-21 01:21:00,25
2019-06-21 01:22:00,7
2019-06-21 01:23:00,15
2019-06-21 01:24:00,16
2019-06-21 01:27:00,3
