640,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-06-21 12:36:00,2
2019-06-21 12:38:00,4
2019-06-21 12:41:00,4
2019-06-21 12:43:00,4
2019-06-21 12:45:00,2
2019-06-21 12:50:00,2
2019-06-21 12:51:00,2
2019-06-21 12:52:00,2
2019-06-21 12:53:00,2
2019-06-21 12:54:00,2
2019-06-21 12:55:00,2
2019-06-21 12:57:00,2
2019-06-21 13:01:00,2
2019-06-21 13:03:00,4
2019-06-21 13:05:00,2
2019-06-21 13:06:00,2
2019-06-21 13:07:00,2
2019-06-21 13:08:00,2
2019-06-21 13:09:00,2
2019-06-21 13:14:00,2
2019-06-21 13:15:00,2
2019-06-21 13:16:00,2
2019-06-21 13:17:00,2
2019-06-21 13:18:00,2
2019-06-21 13:20:00,4
2019-06-21 13:22:00,2
2019-06-21 13:26:00,2
2019-06-21 13:28:00,2
2019-06-21 13:29:00,2
2019-06-21 13:30:00,2
2019-06-21 13:31:00,2
2019-06-21 13:32:00,2
2019-06-21 13:34:00,2
2019-06-21 13:35:00,2
2019-06-21 13:39:00,2
2019-06-21 13:41:00,2
2019-06-21 13:42:00,2
2019-06-21 13:43:00,2
2019-06-21 13:44:00,2
2019-06-21 13:45:00,2
2019-06-21 13:46:00,2
2019-06-21 13:48:00,2
2019-06-21 13:52:00,2
2019-06-21 13:53:00,2
2019-06-21 13:55:00,2
2019-06-21 13:56:00,2
2019-06-21 13:57:00,2
2019-06-21 13:58:00,2
2019-06-21 13:59:00,2
2019-06-21 14:00:00,2
2019-06-21 14:05:00,2
2019-06-21 14:07:00,2
2019-06-21 14:08:00,2
2019-06-21 14:09:00,2
2019-06-21 14:10:00,2
2019-06-21 14:12:00,2
2019-06-21 14:13:00,2
2019-06-21 14:15:00,2
2019-06-21 14:18:00,2
2019-06-21 14:21:00,2
2019-06-21 14:23:00,2
2019-06-21 14:24:00,2
2019-06-21 14:26:00,2
2019-06-21 14:27:00,2
2019-06-21 14:29:00,2
2019-06-21 14:32:00,2
2019-06-21 14:41:00,2
2019-06-21 14:43:00,2
2019-06-21 14:45:00,2
2019-06-21 14:46:00,2
2019-06-21 14:47:00,2
2019-06-21 14:49:00,2
2019-06-21 14:50:00,2
2019-06-21 14:53:00,2
2019-06-21 15:00:00,4
2019-06-21 15:03:00,2
2019-06-21 15:08:00,2
2019-06-21 15:10:00,2
2019-06-21 15:11:00,2
2019-06-21 15:13:00,2
2019-06-21 15:14:00,2
2019-06-21 15:15:00,2
2019-06-21 15:16:00,2
2019-06-21 15:18:00,2
2019-06-21 15:23:00,2
2019-06-21 15:24:00,2
2019-06-21 15:26:00,4
2019-06-21 15:28:00,2
2019-06-21 15:29:00,2
2019-06-21 15:31:00,2
2019-06-21 15:37:00,4
2019-06-21 15:40:00,2
2019-06-21 15:41:00,2
2019-06-21 15:43:00,2
2019-06-21 15:44:00,2
2019-06-21 15:46:00,2
2019-06-21 15:51:00,2
2019-06-21 15:52:00,2
2019-06-21 15:54:00,2
2019-06-21 15:55:00,2
2019-06-21 15:56:00,2
2019-06-21 15:57:00,2
2019-06-21 15:59:00,2
2019-06-21 16:07:00,2
2019-06-21 16:10:00,4
2019-06-21 16:13:00,4
2019-06-21 16:16:00,4
2019-06-21 16:19:00,2
2019-06-21 16:24:00,2
2019-06-21 16:25:00,2
2019-06-21 16:26:00,2
2019-06-21 16:28:00,2
2019-06-21 16:29:00,2
2019-06-21 16:30:00,2
2019-06-21 16:32:00,2
2019-06-21 16:33:00,2
2019-06-21 16:38:00,2
2019-06-21 16:39:00,2
2019-06-21 16:40:00,2
2019-06-21 16:41:00,2
2019-06-21 16:43:00,2
2019-06-21 16:44:00,2
2019-06-21 16:45:00,2
2019-06-21 16:50:00,2
2019-06-21 16:51:00,2
2019-06-21 16:53:00,4
2019-06-21 16:55:00,2
2019-06-21 16:56:00,2
2019-06-21 16:57:00,2
2019-06-21 17:02:00,2
2019-06-21 17:03:00,2
2019-06-21 17:04:00,2
2019-06-21 17:06:00,2
2019-06-21 17:07:00,2
2019-06-21 17:08:00,2
2019-06-21 17:09:00,2
2019-06-21 17:15:00,2
2019-06-21 17:16:00,2
2019-06-21 17:18:00,2
2019-06-21 17:19:00,2
2019-06-21 17:20:00,2
2019-06-21 17:21:00,2
2019-06-21 17:24:00,2
2019-06-21 17:30:00,2
2019-06-21 17:32:00,2
2019-06-21 17:33:00,2
2019-06-21 17:34:00,4
2019-06-21 17:36:00,2
2019-06-21 17:37:00,2
2019-06-21 17:38:00,2
2019-06-21 17:42:00,2
2019-06-21 17:45:00,4
2019-06-21 17:47:00,2
2019-06-21 17:48:00,2
2019-06-21 17:50:00,4
2019-06-21 17:54:00,2
2019-06-21 18:02:00,2
2019-06-21 18:04:00,4
2019-06-21 18:07:00,4
2019-06-21 18:09:00,2
2019-06-21 18:10:00,2
2019-06-21 18:12:00,2
2019-06-21 18:20:00,2
2019-06-21 18:23:00,2
2019-06-21 18:24:00,2
2019-06-21 18:26:00,2
2019-06-21 18:27:00,2
2019-06-21 18:29:00,4
2019-06-21 18:33:00,2
2019-06-21 18:43:00,2
2019-06-21 18:45:00,2
2019-06-21 18:46:00,2
2019-06-21 18:48:00,4
2019-06-21 18:51:00,2
2019-06-21 18:52:00,2
2019-06-21 18:54:00,2
2019-06-21 18:57:00,2
2019-06-21 18:58:00,2
2019-06-21 18:59:00,2
2019-06-21 19:00:00,2
2019-06-21 19:02:00,2
2019-06-21 19:04:00,2
2019-06-21 19:12:00,2
2019-06-21 19:15:00,2
2019-06-21 19:16:00,2
2019-06-21 19:18:00,2
2019-06-21 19:20:00,2
2019-06-21 19:22:00,4
2019-06-21 19:26:00,2
2019-06-21 19:34:00,2
2019-06-21 19:36:00,2
2019-06-21 19:38:00,2
2019-06-21 19:40:00,2
2019-06-21 19:41:00,2
2019-06-21 19:43:00,2
2019-06-21 19:45:00,2
2019-06-21 19:47:00,2
2019-06-21 19:49:00,2
2019-06-21 19:50:00,2
2019-06-21 19:52:00,4
2019-06-21 19:55:00,2
2019-06-21 19:56:00,2
2019-06-21 19:58:00,2
2019-06-21 20:06:00,2
2019-06-21 20:09:00,2
2019-06-21 20:10:00,2
2019-06-21 20:12:00,2
2019-06-21 20:13:00,2
2019-06-21 20:15:00,2
2019-06-21 20:16:00,2
2019-06-21 20:19:00,2
2019-06-21 20:27:00,2
2019-06-21 20:29:00,2
2019-06-21 20:30:00,2
