20,"CREATE TABLE CMASS_S_cmassref_matches_batch_#(cmassref_count_index int, cmass_count_index int, cmass_redshift float, cmassref_RA float, cmassref_Dec float, cmassref_pumag float, cmassref_pgmag float, cmassref_prmag float, cmassref_pimag float, cmassref_pzmag float, cmassref_uextinct float, cmassref_gextinct float, cmassref_rextinct float, cmassref_iextinct float, cmassref_zextinct  float, cmassref_realz float, gal_ra float, gal_dec float, gal_cmodel_u float, gal_cmodel_g float, gal_cmodel_r float, gal_cmodel_i float, gal_cmodel_z float, gal_cmodel_uerr float, gal_cmodel_gerr float, gal_cmodel_rerr float, gal_cmodel_ierr float, gal_cmodel_zerr float, gal_extinction_u float, gal_extinction_g float, gal_extinction_r float, gal_extinction_i float, gal_extinction_z float, gal_airmass_u float, gal_airmass_g float, gal_airmass_r float, gal_airmass_i float, gal_airmass_z float)"
2019-06-21 11:34:00,1
2019-06-21 11:50:00,1
2019-06-21 12:23:00,1
2019-06-21 12:40:00,1
2019-06-21 12:55:00,1
2019-06-21 13:13:00,1
2019-06-21 13:30:00,1
2019-06-21 13:50:00,1
2019-06-21 14:05:00,1
2019-06-21 14:20:00,1
2019-06-21 14:37:00,1
2019-06-21 14:54:00,1
2019-06-21 15:11:00,1
2019-06-21 15:33:00,1
2019-06-21 15:49:00,1
2019-06-21 16:06:00,1
2019-06-21 16:21:00,1
2019-06-21 16:38:00,1
2019-06-21 16:52:00,1
2019-06-21 17:08:00,1
