712,"select psfSigma1_z, psfSigma2_z, psfB_z, psfP0_z, psfBeta_z, psfSigmaP_z, psfSigma1_u, psfSigma2_u, psfB_u, psfP0_u, psfBeta_u, psfSigmaP_u, psfSigma1_g, psfSigma2_g, psfB_g, psfP0_g, psfBeta_g, psfSigmaP_g, psfSigma1_r, psfSigma2_r, psfB_r, psfP0_r, psfBeta_r, psfSigmaP_r, psfSigma1_i, psfSigma2_i, psfB_i, psfP0_i, psfBeta_i, psfSigmaP_i from Field where run = # and rerun = # and camcol = # and field = #"
2019-03-13 04:14:00,10
2019-03-13 04:23:00,4
2019-03-13 06:10:00,7
2019-03-13 08:20:00,2
2019-03-13 08:25:00,10
2019-03-13 08:28:00,2
2019-03-13 08:29:00,1
2019-03-13 08:33:00,10
2019-03-13 08:35:00,2
2019-03-13 08:37:00,1
2019-03-13 08:39:00,2
2019-03-13 08:40:00,3
2019-03-13 08:42:00,3
2019-03-13 08:43:00,2
2019-03-13 08:47:00,10
2019-03-13 08:49:00,2
2019-03-13 08:50:00,2
2019-03-13 08:52:00,4
2019-03-13 08:53:00,1
2019-03-13 08:57:00,10
2019-03-13 09:00:00,3
2019-03-13 09:01:00,2
2019-03-13 09:03:00,4
2019-03-13 09:04:00,1
2019-03-13 09:05:00,1
2019-03-13 09:06:00,3
2019-03-13 09:07:00,1
2019-03-13 09:10:00,1
2019-03-13 09:13:00,7
2019-03-13 09:14:00,1
2019-03-13 09:19:00,8
2019-03-13 09:21:00,2
2019-03-13 09:27:00,10
2019-03-13 09:30:00,1
2019-03-13 09:33:00,1
2019-03-13 09:34:00,6
2019-03-13 09:38:00,1
2019-03-13 09:42:00,2
2019-03-13 09:43:00,8
2019-03-13 09:45:00,2
2019-03-13 09:48:00,8
2019-03-13 09:49:00,2
2019-03-13 09:52:00,6
2019-03-13 09:53:00,1
2019-03-13 09:55:00,5
2019-03-13 09:57:00,2
2019-03-13 09:58:00,1
2019-03-13 09:59:00,2
2019-03-13 10:03:00,4
2019-03-13 10:06:00,2
2019-03-13 10:07:00,1
2019-03-13 10:08:00,1
2019-03-13 10:11:00,2
2019-03-13 10:15:00,4
2019-03-13 10:17:00,3
2019-03-13 10:18:00,2
2019-03-13 10:19:00,1
2019-03-13 10:23:00,3
2019-03-13 10:24:00,7
2019-03-13 10:29:00,10
2019-03-13 10:34:00,5
2019-03-13 10:35:00,5
2019-03-13 10:37:00,1
2019-03-13 10:39:00,4
2019-03-13 10:40:00,1
2019-03-13 10:41:00,3
2019-03-13 10:48:00,3
2019-03-13 10:49:00,3
2019-03-13 11:00:00,10
2019-03-13 11:02:00,2
2019-03-13 11:06:00,10
2019-03-13 11:10:00,6
2019-03-13 11:12:00,1
2019-03-13 11:15:00,9
2019-03-13 11:18:00,2
2019-03-13 11:19:00,1
2019-03-13 11:23:00,7
2019-03-13 11:24:00,3
2019-03-13 11:26:00,2
2019-03-13 11:27:00,1
2019-03-13 11:31:00,6
2019-03-13 11:33:00,1
2019-03-13 11:34:00,3
2019-03-13 11:35:00,1
2019-03-13 11:36:00,2
2019-03-13 11:37:00,1
2019-03-13 11:38:00,3
2019-03-13 11:43:00,1
2019-03-13 11:44:00,2
2019-03-13 11:46:00,3
2019-03-13 11:50:00,10
2019-03-13 11:53:00,1
2019-03-13 11:57:00,10
2019-03-13 11:59:00,2
2019-03-13 12:01:00,3
2019-03-13 12:04:00,4
2019-03-13 12:05:00,1
2019-03-13 12:06:00,4
2019-03-13 12:08:00,1
2019-03-13 12:10:00,3
2019-03-13 12:15:00,5
2019-03-13 12:20:00,6
2019-03-13 12:25:00,10
2019-03-13 12:30:00,10
2019-03-13 12:34:00,2
2019-03-13 12:35:00,2
2019-03-13 12:36:00,1
2019-03-13 12:40:00,10
2019-03-13 12:43:00,1
2019-03-13 12:44:00,3
2019-03-13 12:46:00,1
2019-03-13 12:47:00,2
2019-03-13 12:51:00,10
2019-03-13 12:59:00,2
2019-03-13 13:02:00,7
2019-03-13 13:05:00,2
2019-03-13 13:06:00,1
2019-03-13 13:08:00,2
2019-03-13 13:09:00,2
2019-03-13 13:10:00,2
2019-03-13 13:11:00,3
2019-03-13 13:13:00,3
2019-03-13 13:15:00,2
2019-03-13 13:16:00,3
2019-03-13 13:17:00,1
2019-03-13 13:19:00,4
2019-03-13 13:21:00,2
2019-03-13 13:25:00,5
2019-03-13 13:27:00,2
2019-03-13 13:32:00,1
2019-03-13 13:37:00,1
2019-03-13 13:41:00,9
2019-03-13 13:43:00,2
2019-03-13 13:44:00,2
2019-03-13 13:46:00,1
2019-03-13 13:47:00,2
2019-03-13 13:48:00,2
2019-03-13 13:52:00,7
2019-03-13 14:03:00,10
2019-03-13 14:08:00,10
2019-03-13 14:13:00,10
2019-03-13 14:17:00,3
2019-03-13 14:25:00,3
2019-03-13 14:29:00,10
2019-03-13 14:32:00,2
2019-03-13 14:33:00,3
2019-03-13 14:35:00,1
2019-03-13 14:39:00,10
2019-03-13 14:41:00,3
2019-03-13 14:42:00,1
2019-03-13 14:46:00,9
2019-03-13 14:49:00,3
2019-03-13 14:51:00,2
2019-03-13 14:55:00,4
2019-03-13 14:57:00,2
2019-03-13 14:58:00,2
2019-03-13 15:02:00,10
2019-03-13 15:04:00,2
2019-03-13 15:06:00,3
2019-03-13 15:08:00,3
2019-03-13 15:10:00,2
2019-03-13 15:12:00,3
2019-03-13 15:16:00,10
2019-03-13 15:23:00,2
2019-03-13 15:25:00,5
2019-03-13 15:27:00,2
2019-03-13 15:29:00,1
2019-03-13 15:33:00,10
2019-03-13 15:35:00,2
2019-03-13 15:39:00,10
2019-03-13 15:44:00,10
2019-03-13 15:46:00,1
2019-03-13 15:54:00,8
2019-03-13 16:01:00,5
2019-03-13 16:03:00,3
2019-03-13 16:06:00,2
2019-03-13 16:08:00,1
2019-03-13 16:11:00,6
2019-03-13 16:12:00,4
2019-03-13 16:16:00,4
2019-03-13 16:18:00,2
2019-03-13 16:20:00,3
2019-03-13 16:22:00,2
2019-03-13 16:23:00,1
2019-03-13 16:24:00,1
2019-03-13 16:26:00,2
2019-03-13 16:52:00,6
2019-03-13 16:53:00,4
