4213,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and zWarning = #   and ra<#  and ra>#  and dec<#  and dec>#  and z >nan  and z <nan"
2019-03-13 09:16:00,1
2019-03-13 09:43:00,1
2019-03-13 09:44:00,87
2019-03-13 17:44:00,10
2019-03-13 17:45:00,112
2019-03-13 17:46:00,106
2019-03-13 17:47:00,108
2019-03-13 17:48:00,100
2019-03-13 17:49:00,109
2019-03-13 17:50:00,112
2019-03-13 17:51:00,106
2019-03-13 17:52:00,108
2019-03-13 17:53:00,97
2019-03-13 17:54:00,102
2019-03-13 17:55:00,114
2019-03-13 17:56:00,56
2019-03-13 18:30:00,51
2019-03-13 18:31:00,113
2019-03-13 18:32:00,111
2019-03-13 18:33:00,110
2019-03-13 18:34:00,113
2019-03-13 18:35:00,110
2019-03-13 18:36:00,113
2019-03-13 18:37:00,112
2019-03-13 18:38:00,111
2019-03-13 18:39:00,110
2019-03-13 18:40:00,106
2019-03-13 18:41:00,80
2019-03-13 19:03:00,41
2019-03-13 19:04:00,110
2019-03-13 19:05:00,51
2019-03-13 21:25:00,12
2019-03-13 21:26:00,144
2019-03-13 21:27:00,136
2019-03-13 21:28:00,155
2019-03-13 21:29:00,161
2019-03-13 21:30:00,154
2019-03-13 21:31:00,157
2019-03-13 21:32:00,132
2019-03-13 21:33:00,133
2019-03-13 21:34:00,56
2019-03-13 21:50:00,80
2019-03-13 21:51:00,122
