1314,select objid from photoobjall where photoobjall.dec between # and # and photoobjall.ra between # and #
2019-03-13 23:06:00,24
2019-03-13 23:07:00,16
2019-03-13 23:08:00,84
2019-03-13 23:09:00,55
2019-03-13 23:10:00,2
2019-03-13 23:23:00,109
2019-03-13 23:24:00,85
2019-03-13 23:25:00,78
2019-03-13 23:26:00,28
2019-03-13 23:27:00,13
2019-03-13 23:28:00,26
2019-03-13 23:29:00,26
2019-03-13 23:30:00,5
2019-03-13 23:31:00,112
2019-03-13 23:32:00,9
2019-03-13 23:33:00,29
2019-03-13 23:34:00,24
2019-03-13 23:35:00,19
2019-03-13 23:36:00,4
2019-03-13 23:37:00,1
2019-03-13 23:38:00,2
2019-03-13 23:39:00,18
2019-03-13 23:40:00,23
2019-03-13 23:41:00,11
2019-03-13 23:42:00,12
2019-03-13 23:43:00,54
2019-03-13 23:44:00,89
2019-03-13 23:45:00,68
2019-03-13 23:46:00,7
2019-03-13 23:47:00,50
2019-03-13 23:48:00,61
2019-03-13 23:49:00,148
2019-03-13 23:50:00,22
