12,select count(*) from specobjall where subClass like &&& and snMedian_g>=#
2019-03-13 04:59:00,1
2019-03-13 05:07:00,1
2019-03-13 05:08:00,1
2019-03-13 05:47:00,3
2019-03-13 05:48:00,6
