977,"SELECT  sp.ra, sp.dec, sp.z as redshift,  sp.cModelMag_g as g, sp.cModelMagerr_g as err_g,   sp.cModelMag_i as i, sp.cModelMagerr_i as err_i,  gs.h_alpha_eqw, gs.oii_#_eqw,   p.aperFlux7_g, p.aperFlux7Ivar_g as var_g,  p.aperFlux7_i, p.aperFlux7Ivar_i as var_i,  so.bestobjid as bestObjId    FROM GalSpecLine AS gs   JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid  JOIN Galaxy as gal ON gal.specobjId = gs.specobjid  JOIN PhotoObjAll as p ON p.specObjId = gs.specobjID  JOIN SpecObjAll as so ON so.specObjId = gs.specobjID    WHERE   so.bestobjid = #"
2019-03-13 12:45:00,4
2019-03-13 12:46:00,3
2019-03-13 12:51:00,3
2019-03-13 12:52:00,3
2019-03-13 12:56:00,3
2019-03-13 12:57:00,3
2019-03-13 12:59:00,6
2019-03-13 13:01:00,2
2019-03-13 13:02:00,1
2019-03-13 13:09:00,25
2019-03-13 13:10:00,57
2019-03-13 13:11:00,53
2019-03-13 13:12:00,56
2019-03-13 13:13:00,12
2019-03-13 13:14:00,47
2019-03-13 13:15:00,84
2019-03-13 13:16:00,72
2019-03-13 13:17:00,10
2019-03-13 13:19:00,10
2019-03-13 13:20:00,10
2019-03-13 13:21:00,10
2019-03-13 13:25:00,10
2019-03-13 13:26:00,10
2019-03-13 13:27:00,18
2019-03-13 13:28:00,85
2019-03-13 13:29:00,79
2019-03-13 13:30:00,21
2019-03-13 14:01:00,25
2019-03-13 14:02:00,61
2019-03-13 14:03:00,56
2019-03-13 14:04:00,62
2019-03-13 14:05:00,55
2019-03-13 14:06:00,21
