8918,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and zWarning = #   and ra<#  and ra>#  and dec<#  and dec>#  and z >#  and z <#"
2019-03-13 09:09:00,1
2019-03-13 09:10:00,28
2019-03-13 09:11:00,33
2019-03-13 09:12:00,45
2019-03-13 09:13:00,45
2019-03-13 09:14:00,104
2019-03-13 09:15:00,102
2019-03-13 09:16:00,94
2019-03-13 09:25:00,1
2019-03-13 09:26:00,17
2019-03-13 09:27:00,16
2019-03-13 09:28:00,14
2019-03-13 09:29:00,11
2019-03-13 09:30:00,7
2019-03-13 09:31:00,10
2019-03-13 09:32:00,7
2019-03-13 09:33:00,9
2019-03-13 09:34:00,9
2019-03-13 09:35:00,8
2019-03-13 09:36:00,15
2019-03-13 09:37:00,6
2019-03-13 09:39:00,16
2019-03-13 09:40:00,114
2019-03-13 09:41:00,105
2019-03-13 09:42:00,108
2019-03-13 09:43:00,108
2019-03-13 17:12:00,8
2019-03-13 17:13:00,49
2019-03-13 17:14:00,44
2019-03-13 17:17:00,51
2019-03-13 17:18:00,48
2019-03-13 17:20:00,69
2019-03-13 17:21:00,59
2019-03-13 17:22:00,49
2019-03-13 17:23:00,50
2019-03-13 17:24:00,54
2019-03-13 17:25:00,50
2019-03-13 17:26:00,49
2019-03-13 17:27:00,49
2019-03-13 17:28:00,47
2019-03-13 17:29:00,52
2019-03-13 17:30:00,52
2019-03-13 17:31:00,52
2019-03-13 17:32:00,50
2019-03-13 17:33:00,81
2019-03-13 17:34:00,81
2019-03-13 17:35:00,68
2019-03-13 17:36:00,60
2019-03-13 17:37:00,59
2019-03-13 17:38:00,51
2019-03-13 17:39:00,54
2019-03-13 17:40:00,55
2019-03-13 17:41:00,55
2019-03-13 17:42:00,55
2019-03-13 17:43:00,57
2019-03-13 17:44:00,53
2019-03-13 17:56:00,44
2019-03-13 17:57:00,81
2019-03-13 17:58:00,66
2019-03-13 17:59:00,71
2019-03-13 18:00:00,62
2019-03-13 18:01:00,65
2019-03-13 18:02:00,57
2019-03-13 18:03:00,60
2019-03-13 18:04:00,58
2019-03-13 18:05:00,55
2019-03-13 18:06:00,58
2019-03-13 18:07:00,60
2019-03-13 18:08:00,57
2019-03-13 18:09:00,57
2019-03-13 18:10:00,63
2019-03-13 18:11:00,59
2019-03-13 18:12:00,62
2019-03-13 18:13:00,58
2019-03-13 18:14:00,53
2019-03-13 18:15:00,60
2019-03-13 18:16:00,57
2019-03-13 18:17:00,34
2019-03-13 18:19:00,56
2019-03-13 18:20:00,85
2019-03-13 18:21:00,76
2019-03-13 18:22:00,66
2019-03-13 18:23:00,63
2019-03-13 18:24:00,54
2019-03-13 18:25:00,56
2019-03-13 18:26:00,57
2019-03-13 18:27:00,58
2019-03-13 18:28:00,61
2019-03-13 18:29:00,62
2019-03-13 18:30:00,33
2019-03-13 18:41:00,25
2019-03-13 18:42:00,83
2019-03-13 18:43:00,74
2019-03-13 18:44:00,72
2019-03-13 18:45:00,67
2019-03-13 18:46:00,64
2019-03-13 18:47:00,62
2019-03-13 18:48:00,64
2019-03-13 18:49:00,57
2019-03-13 18:50:00,59
2019-03-13 18:51:00,59
2019-03-13 18:52:00,60
2019-03-13 18:53:00,58
2019-03-13 18:54:00,60
2019-03-13 18:55:00,65
2019-03-13 18:56:00,62
2019-03-13 18:57:00,61
2019-03-13 18:58:00,60
2019-03-13 18:59:00,58
2019-03-13 19:00:00,61
2019-03-13 19:01:00,57
2019-03-13 19:02:00,66
2019-03-13 19:03:00,65
2019-03-13 19:05:00,26
2019-03-13 19:06:00,54
2019-03-13 19:07:00,54
2019-03-13 19:08:00,54
2019-03-13 19:09:00,55
2019-03-13 19:10:00,20
2019-03-13 19:11:00,36
2019-03-13 19:12:00,56
2019-03-13 19:13:00,54
2019-03-13 19:14:00,56
2019-03-13 19:15:00,55
2019-03-13 19:16:00,54
2019-03-13 19:17:00,56
2019-03-13 19:18:00,55
2019-03-13 21:17:00,45
2019-03-13 21:18:00,117
2019-03-13 21:19:00,96
2019-03-13 21:20:00,76
2019-03-13 21:21:00,84
2019-03-13 21:22:00,74
2019-03-13 21:23:00,78
2019-03-13 21:24:00,73
2019-03-13 21:25:00,84
2019-03-13 21:34:00,72
2019-03-13 21:35:00,99
2019-03-13 21:36:00,92
2019-03-13 21:37:00,86
2019-03-13 21:38:00,89
2019-03-13 21:39:00,80
2019-03-13 21:40:00,80
2019-03-13 21:41:00,85
2019-03-13 21:42:00,76
2019-03-13 21:43:00,85
2019-03-13 21:44:00,91
2019-03-13 21:45:00,81
2019-03-13 21:46:00,86
2019-03-13 21:47:00,78
2019-03-13 21:48:00,84
2019-03-13 21:49:00,87
2019-03-13 21:50:00,68
