2,"SELECT dr7objid AS objid, ra, dec, p_el, (p_acw + p_cw) AS p_sp  FROM zooSpec  WHERE (p_el >= #) OR (p_acw + p_cw) >= #  ORDER BY dr7objid ASC"
2019-03-13 17:56:00,1
2019-03-13 17:59:00,1
