1404,"SELECT p.ra,p.dec,   p.psfmag_g,p.psfMagErr_g,   p.psfmag_r,p.psfMagErr_r,   p.psfmag_i,p.psfMagErr_i,   p.psfmag_z,p.psfMagErr_z,   f.mjd_r,f.mjd_g,f.mjd_i,f.mjd_z   FROM PhotoObjAll p   JOIN field as f on p.fieldid = f.fieldid   WHERE ra between # and #   and dec between # and #   and p.parentID = #   order by f.mjd_r"
2019-03-13 16:20:00,145
2019-03-13 16:21:00,143
2019-03-13 16:22:00,138
2019-03-13 16:23:00,143
2019-03-13 16:24:00,158
2019-03-13 16:25:00,138
2019-03-13 16:26:00,134
2019-03-13 16:27:00,131
2019-03-13 16:28:00,157
2019-03-13 16:29:00,117
