2,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid"
2019-03-13 10:15:00,1
2019-03-13 10:17:00,1
