820,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-03-13 04:14:00,9
2019-03-13 04:15:00,1
2019-03-13 04:23:00,4
2019-03-13 06:10:00,7
2019-03-13 08:20:00,7
2019-03-13 08:21:00,3
2019-03-13 08:25:00,10
2019-03-13 08:28:00,2
2019-03-13 08:29:00,2
2019-03-13 08:33:00,10
2019-03-13 08:35:00,2
2019-03-13 08:36:00,1
2019-03-13 08:37:00,1
2019-03-13 08:40:00,5
2019-03-13 08:42:00,3
2019-03-13 08:43:00,2
2019-03-13 08:47:00,6
2019-03-13 08:48:00,4
2019-03-13 08:49:00,3
2019-03-13 08:50:00,2
2019-03-13 08:53:00,5
2019-03-13 08:57:00,10
2019-03-13 09:00:00,3
2019-03-13 09:01:00,2
2019-03-13 09:03:00,3
2019-03-13 09:04:00,2
2019-03-13 09:05:00,1
2019-03-13 09:06:00,3
2019-03-13 09:08:00,1
2019-03-13 09:09:00,2
2019-03-13 09:10:00,2
2019-03-13 09:14:00,8
2019-03-13 09:19:00,10
2019-03-13 09:21:00,2
2019-03-13 09:22:00,1
2019-03-13 09:23:00,2
2019-03-13 09:28:00,10
2019-03-13 09:30:00,2
2019-03-13 09:34:00,2
2019-03-13 09:35:00,5
2019-03-13 09:39:00,3
2019-03-13 09:43:00,10
2019-03-13 09:45:00,2
2019-03-13 09:48:00,8
2019-03-13 09:49:00,2
2019-03-13 09:52:00,6
2019-03-13 09:53:00,1
2019-03-13 09:55:00,2
2019-03-13 09:56:00,3
2019-03-13 09:57:00,2
2019-03-13 09:58:00,2
2019-03-13 09:59:00,1
