34,"select count(*) as count from galaxy p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid"
2019-03-13 03:05:00,2
2019-03-13 03:07:00,2
2019-03-13 03:08:00,2
2019-03-13 03:09:00,2
2019-03-13 05:30:00,1
2019-03-13 05:33:00,1
2019-03-13 05:35:00,1
2019-03-13 05:37:00,1
2019-03-13 05:38:00,1
2019-03-13 05:40:00,1
2019-03-13 05:41:00,1
2019-03-13 05:42:00,2
2019-03-13 05:44:00,2
2019-03-13 19:18:00,1
2019-03-13 19:21:00,1
2019-03-13 19:22:00,3
2019-03-13 19:23:00,1
2019-03-13 19:24:00,1
2019-03-13 23:40:00,3
2019-03-13 23:41:00,1
2019-03-13 23:46:00,2
2019-03-13 23:52:00,1
2019-03-13 23:53:00,1
