2,"select top # p.objid, p.ra, p.dec, p.g, s.z as redshift from photoobj p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and (p.g BETWEEN # AND #)  and s.z BETWEEN .# AND .# order by p.g"
2019-03-13 09:34:00,1
2019-03-13 09:35:00,1
