19,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, ISNULL(fp.nfirstmatch,#)  FROM (   SELECT run, sum(primaryArea) AS runarea,  #e6*avg(power(cast(#. as float),#*sky_r)) as avg_sky_muJy  FROM Field  GROUP BY run  ) AS fld  LEFT OUTER JOIN (   SELECT p.run, count(*) AS nfirstmatch  FROM FIRST AS fm  INNER JOIN photoprimary as p  ON p.objid=fm.objid  GROUP BY p.run  ) AS fp  ON fld.run=fp.run  ORDER BY fld.run"
2019-12-12 00:24:00,1
2019-12-12 00:30:00,1
2019-12-12 00:32:00,1
2019-12-12 00:35:00,1
2019-12-12 00:40:00,1
2019-12-12 00:49:00,1
2019-12-12 01:06:00,1
2019-12-12 05:24:00,1
2019-12-12 05:26:00,1
2019-12-12 05:29:00,1
2019-12-12 05:34:00,1
2019-12-12 05:43:00,1
2019-12-12 06:00:00,1
2019-12-12 13:05:00,1
2019-12-12 13:07:00,1
2019-12-12 13:10:00,1
2019-12-12 13:15:00,1
2019-12-12 13:24:00,1
2019-12-12 13:41:00,1
