13801,"SELECT aa_r,kk_r,airmass_r,gain_r,sky_r,skysig_r FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-12-12 00:00:00,173
2019-12-12 00:01:00,159
2019-12-12 00:02:00,205
2019-12-12 00:03:00,204
2019-12-12 00:04:00,174
2019-12-12 00:05:00,116
2019-12-12 00:06:00,12
2019-12-12 00:07:00,1
2019-12-12 00:08:00,89
2019-12-12 00:09:00,35
2019-12-12 00:10:00,90
2019-12-12 00:11:00,198
2019-12-12 00:12:00,201
2019-12-12 00:13:00,166
2019-12-12 00:14:00,203
2019-12-12 00:15:00,198
2019-12-12 00:16:00,165
2019-12-12 00:17:00,61
2019-12-12 00:18:00,24
2019-12-12 00:19:00,41
2019-12-12 00:20:00,16
2019-12-12 00:21:00,17
2019-12-12 00:22:00,40
2019-12-12 00:23:00,96
2019-12-12 00:24:00,111
2019-12-12 00:25:00,125
2019-12-12 00:26:00,106
2019-12-12 00:27:00,93
2019-12-12 00:28:00,16
2019-12-12 00:29:00,7
2019-12-12 00:30:00,2
2019-12-12 00:31:00,1
2019-12-12 00:33:00,31
2019-12-12 00:34:00,83
2019-12-12 00:35:00,55
2019-12-12 00:36:00,90
2019-12-12 00:37:00,78
2019-12-12 00:38:00,96
2019-12-12 00:39:00,73
2019-12-12 00:40:00,19
2019-12-12 00:41:00,2
2019-12-12 00:42:00,6
2019-12-12 00:43:00,5
2019-12-12 00:44:00,2
2019-12-12 00:45:00,21
2019-12-12 00:46:00,39
2019-12-12 05:16:00,76
2019-12-12 05:17:00,307
2019-12-12 05:18:00,304
2019-12-12 05:19:00,307
2019-12-12 05:20:00,274
2019-12-12 05:21:00,303
2019-12-12 05:22:00,303
2019-12-12 05:23:00,309
2019-12-12 05:24:00,324
2019-12-12 05:25:00,317
2019-12-12 05:26:00,317
2019-12-12 05:27:00,319
2019-12-12 05:28:00,313
2019-12-12 05:29:00,319
2019-12-12 05:30:00,304
2019-12-12 05:31:00,287
2019-12-12 05:32:00,302
2019-12-12 05:33:00,284
2019-12-12 05:34:00,258
2019-12-12 05:35:00,250
2019-12-12 05:36:00,224
2019-12-12 05:37:00,209
2019-12-12 05:38:00,195
2019-12-12 05:39:00,200
2019-12-12 05:40:00,148
2019-12-12 05:41:00,151
2019-12-12 05:42:00,132
2019-12-12 05:43:00,126
2019-12-12 05:44:00,109
2019-12-12 05:45:00,88
2019-12-12 05:46:00,90
2019-12-12 05:47:00,88
2019-12-12 05:48:00,94
2019-12-12 05:49:00,91
2019-12-12 05:50:00,88
2019-12-12 05:51:00,91
2019-12-12 05:52:00,87
2019-12-12 05:53:00,74
2019-12-12 05:54:00,103
2019-12-12 05:55:00,106
2019-12-12 05:56:00,99
2019-12-12 05:57:00,98
2019-12-12 05:58:00,93
2019-12-12 05:59:00,92
2019-12-12 06:00:00,98
2019-12-12 06:01:00,92
2019-12-12 06:02:00,73
2019-12-12 06:03:00,75
2019-12-12 06:04:00,68
2019-12-12 06:05:00,60
2019-12-12 06:06:00,49
2019-12-12 06:07:00,43
2019-12-12 06:08:00,40
2019-12-12 06:09:00,35
2019-12-12 06:10:00,35
2019-12-12 06:11:00,33
2019-12-12 06:12:00,36
2019-12-12 06:13:00,35
2019-12-12 06:14:00,44
2019-12-12 06:15:00,39
2019-12-12 06:16:00,31
2019-12-12 06:17:00,36
2019-12-12 06:18:00,35
2019-12-12 06:19:00,36
2019-12-12 06:20:00,38
2019-12-12 06:21:00,37
2019-12-12 06:22:00,37
2019-12-12 06:23:00,36
2019-12-12 06:24:00,44
2019-12-12 06:25:00,44
2019-12-12 06:26:00,41
2019-12-12 06:27:00,26
2019-12-12 06:28:00,22
2019-12-12 06:29:00,14
2019-12-12 06:30:00,18
2019-12-12 06:31:00,19
2019-12-12 06:32:00,8
2019-12-12 06:33:00,9
2019-12-12 06:34:00,11
2019-12-12 06:35:00,6
