85675,"select ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroR5#_r,probPSF,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z, p.objid from (PhotoTag p inner join fGetObjFromRectEq(#,#,#,#) r on p.objid=r.objid)"
2019-12-12 00:03:00,11
2019-12-12 00:04:00,9
2019-12-12 00:05:00,13
2019-12-12 00:06:00,15
2019-12-12 00:07:00,16
2019-12-12 00:08:00,22
2019-12-12 00:09:00,178
2019-12-12 00:10:00,358
2019-12-12 00:11:00,420
2019-12-12 00:12:00,647
2019-12-12 00:13:00,694
2019-12-12 00:14:00,391
2019-12-12 00:15:00,338
2019-12-12 00:16:00,119
2019-12-12 00:17:00,25
2019-12-12 00:18:00,19
2019-12-12 00:19:00,15
2019-12-12 00:20:00,13
2019-12-12 00:21:00,14
2019-12-12 00:22:00,9
2019-12-12 00:25:00,2
2019-12-12 00:37:00,14
2019-12-12 00:38:00,121
2019-12-12 00:39:00,159
2019-12-12 00:40:00,141
2019-12-12 00:41:00,103
2019-12-12 00:42:00,110
2019-12-12 00:43:00,115
2019-12-12 00:44:00,278
2019-12-12 00:45:00,388
2019-12-12 00:46:00,299
2019-12-12 00:47:00,223
2019-12-12 00:48:00,59
2019-12-12 00:49:00,56
2019-12-12 00:50:00,7
2019-12-12 00:51:00,13
2019-12-12 00:52:00,20
2019-12-12 00:53:00,20
2019-12-12 00:54:00,10
2019-12-12 00:55:00,11
2019-12-12 00:56:00,20
2019-12-12 00:57:00,129
2019-12-12 00:58:00,85
2019-12-12 00:59:00,5
2019-12-12 01:00:00,3
2019-12-12 01:01:00,3
2019-12-12 01:02:00,5
2019-12-12 01:03:00,35
2019-12-12 01:04:00,26
2019-12-12 01:05:00,65
2019-12-12 01:06:00,87
2019-12-12 01:07:00,42
2019-12-12 01:08:00,84
2019-12-12 01:09:00,307
2019-12-12 01:10:00,303
2019-12-12 01:11:00,284
2019-12-12 01:12:00,243
2019-12-12 01:13:00,309
2019-12-12 01:14:00,199
2019-12-12 01:15:00,28
2019-12-12 01:16:00,28
2019-12-12 01:17:00,23
2019-12-12 01:18:00,23
2019-12-12 01:19:00,7
2019-12-12 01:20:00,51
2019-12-12 01:21:00,81
2019-12-12 01:22:00,61
2019-12-12 01:23:00,5
2019-12-12 01:24:00,41
2019-12-12 01:25:00,9
2019-12-12 01:27:00,2
2019-12-12 01:28:00,30
2019-12-12 01:29:00,53
2019-12-12 01:30:00,73
2019-12-12 01:31:00,189
2019-12-12 01:32:00,375
2019-12-12 01:33:00,771
2019-12-12 01:34:00,433
2019-12-12 01:35:00,167
2019-12-12 01:36:00,387
2019-12-12 01:37:00,219
2019-12-12 01:38:00,45
2019-12-12 01:39:00,89
2019-12-12 01:40:00,62
2019-12-12 01:41:00,21
2019-12-12 01:42:00,74
2019-12-12 01:43:00,56
2019-12-12 01:44:00,15
2019-12-12 01:45:00,68
2019-12-12 01:46:00,20
2019-12-12 01:47:00,24
2019-12-12 01:48:00,69
2019-12-12 01:49:00,107
2019-12-12 01:50:00,191
2019-12-12 01:51:00,395
2019-12-12 01:52:00,145
2019-12-12 01:53:00,601
2019-12-12 01:54:00,606
2019-12-12 01:55:00,346
2019-12-12 01:56:00,346
2019-12-12 01:57:00,195
2019-12-12 01:58:00,44
2019-12-12 01:59:00,45
2019-12-12 02:00:00,75
2019-12-12 02:01:00,158
2019-12-12 02:02:00,124
2019-12-12 02:03:00,165
2019-12-12 02:04:00,68
2019-12-12 02:05:00,95
2019-12-12 02:06:00,87
2019-12-12 02:07:00,313
2019-12-12 02:08:00,496
2019-12-12 02:09:00,591
2019-12-12 02:10:00,183
2019-12-12 02:11:00,249
2019-12-12 02:12:00,339
2019-12-12 02:13:00,328
2019-12-12 02:14:00,264
2019-12-12 02:15:00,354
2019-12-12 02:16:00,232
2019-12-12 02:17:00,150
2019-12-12 02:18:00,145
2019-12-12 02:19:00,200
2019-12-12 02:20:00,219
2019-12-12 02:21:00,248
2019-12-12 02:22:00,267
2019-12-12 02:23:00,320
2019-12-12 02:24:00,478
2019-12-12 02:25:00,235
2019-12-12 02:26:00,185
2019-12-12 02:27:00,348
2019-12-12 02:28:00,191
2019-12-12 02:29:00,202
2019-12-12 02:30:00,178
2019-12-12 02:31:00,146
2019-12-12 02:32:00,159
2019-12-12 02:33:00,180
2019-12-12 02:34:00,120
2019-12-12 02:35:00,300
2019-12-12 02:36:00,159
2019-12-12 02:37:00,204
2019-12-12 02:38:00,365
2019-12-12 02:39:00,347
2019-12-12 02:40:00,282
2019-12-12 02:41:00,302
2019-12-12 02:42:00,385
2019-12-12 02:43:00,384
2019-12-12 02:44:00,259
2019-12-12 02:45:00,152
2019-12-12 02:46:00,191
2019-12-12 02:47:00,206
2019-12-12 02:48:00,213
2019-12-12 02:49:00,152
2019-12-12 02:50:00,237
2019-12-12 02:51:00,230
2019-12-12 02:52:00,195
2019-12-12 02:53:00,157
2019-12-12 02:54:00,305
2019-12-12 02:55:00,216
2019-12-12 02:56:00,310
2019-12-12 02:57:00,288
2019-12-12 02:58:00,330
2019-12-12 02:59:00,277
2019-12-12 03:00:00,203
2019-12-12 03:01:00,177
2019-12-12 03:02:00,147
2019-12-12 03:03:00,160
2019-12-12 03:04:00,232
2019-12-12 03:05:00,79
2019-12-12 03:06:00,219
2019-12-12 03:07:00,289
2019-12-12 03:08:00,280
2019-12-12 03:09:00,242
2019-12-12 03:10:00,72
2019-12-12 03:11:00,357
2019-12-12 03:12:00,299
2019-12-12 03:13:00,195
2019-12-12 03:14:00,463
2019-12-12 03:15:00,328
2019-12-12 03:16:00,389
2019-12-12 03:17:00,164
2019-12-12 03:18:00,29
2019-12-12 03:19:00,178
2019-12-12 03:20:00,27
2019-12-12 03:21:00,48
2019-12-12 03:22:00,92
2019-12-12 03:23:00,3
2019-12-12 03:24:00,20
2019-12-12 03:25:00,28
2019-12-12 03:26:00,39
2019-12-12 03:27:00,59
2019-12-12 03:28:00,66
2019-12-12 03:29:00,45
2019-12-12 03:30:00,50
2019-12-12 03:31:00,41
2019-12-12 03:32:00,17
2019-12-12 03:33:00,39
2019-12-12 03:34:00,25
2019-12-12 03:35:00,37
2019-12-12 03:36:00,21
2019-12-12 03:37:00,29
2019-12-12 03:38:00,15
2019-12-12 03:39:00,40
2019-12-12 03:40:00,52
2019-12-12 03:41:00,94
2019-12-12 03:42:00,113
2019-12-12 03:43:00,197
2019-12-12 03:44:00,244
2019-12-12 03:45:00,195
2019-12-12 03:46:00,163
2019-12-12 03:47:00,94
2019-12-12 03:48:00,45
2019-12-12 03:49:00,6
2019-12-12 03:53:00,1
2019-12-12 03:54:00,14
2019-12-12 03:55:00,28
2019-12-12 03:56:00,40
2019-12-12 03:57:00,52
2019-12-12 03:58:00,69
2019-12-12 03:59:00,59
2019-12-12 04:00:00,43
2019-12-12 04:01:00,45
2019-12-12 04:02:00,40
2019-12-12 04:03:00,29
2019-12-12 04:04:00,29
2019-12-12 04:05:00,42
2019-12-12 04:06:00,33
2019-12-12 04:07:00,27
2019-12-12 04:08:00,11
2019-12-12 04:09:00,27
2019-12-12 04:10:00,47
2019-12-12 04:11:00,74
2019-12-12 04:12:00,90
2019-12-12 04:13:00,182
2019-12-12 04:14:00,198
2019-12-12 04:15:00,258
2019-12-12 04:16:00,214
2019-12-12 04:17:00,150
2019-12-12 04:18:00,69
2019-12-12 04:19:00,32
2019-12-12 04:20:00,3
2019-12-12 04:22:00,1
2019-12-12 04:23:00,5
2019-12-12 04:24:00,34
2019-12-12 04:25:00,18
2019-12-12 04:26:00,67
2019-12-12 04:27:00,65
2019-12-12 04:28:00,68
2019-12-12 04:29:00,48
2019-12-12 04:30:00,72
2019-12-12 04:31:00,44
2019-12-12 04:32:00,28
2019-12-12 04:33:00,40
2019-12-12 04:34:00,44
2019-12-12 04:35:00,30
2019-12-12 04:36:00,7
2019-12-12 04:37:00,20
2019-12-12 04:38:00,39
2019-12-12 04:39:00,50
2019-12-12 04:40:00,45
2019-12-12 04:41:00,82
2019-12-12 04:42:00,166
2019-12-12 04:43:00,174
2019-12-12 04:44:00,221
2019-12-12 04:45:00,199
2019-12-12 04:46:00,152
2019-12-12 04:47:00,45
2019-12-12 04:48:00,4
2019-12-12 04:52:00,5
2019-12-12 04:53:00,19
2019-12-12 04:54:00,26
2019-12-12 04:55:00,54
2019-12-12 04:56:00,55
2019-12-12 04:57:00,49
2019-12-12 04:58:00,44
2019-12-12 04:59:00,34
2019-12-12 05:00:00,28
2019-12-12 05:01:00,28
2019-12-12 05:02:00,30
2019-12-12 05:03:00,20
2019-12-12 05:04:00,12
2019-12-12 05:05:00,8
2019-12-12 05:06:00,17
2019-12-12 05:07:00,27
2019-12-12 05:08:00,35
2019-12-12 05:09:00,33
2019-12-12 05:10:00,51
2019-12-12 05:11:00,70
2019-12-12 05:12:00,93
2019-12-12 05:13:00,114
2019-12-12 05:14:00,194
2019-12-12 05:15:00,178
2019-12-12 05:16:00,120
