1653,"SELECT TOP #  cast(str(s.ra,#,#) as float) as ra,cast(str(s.[dec],#,#) as float) as dec,s.z,s.zErr,p.r  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE (s.class = &&&) AND ( p.type = # OR p.type = #)"
2019-12-12 16:21:00,90
2019-12-12 16:22:00,103
2019-12-12 16:23:00,102
2019-12-12 16:24:00,103
2019-12-12 16:25:00,104
2019-12-12 16:26:00,100
2019-12-12 16:27:00,104
2019-12-12 16:28:00,103
2019-12-12 16:29:00,100
2019-12-12 16:30:00,104
2019-12-12 16:31:00,102
2019-12-12 16:32:00,105
2019-12-12 16:33:00,105
2019-12-12 16:34:00,105
2019-12-12 16:35:00,106
2019-12-12 16:36:00,104
2019-12-12 16:37:00,13
