17,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-12-12 10:42:00,1
2019-12-12 12:32:00,2
2019-12-12 12:36:00,1
2019-12-12 12:45:00,1
2019-12-12 13:45:00,2
2019-12-12 13:47:00,1
2019-12-12 13:58:00,1
2019-12-12 13:59:00,1
2019-12-12 14:12:00,1
2019-12-12 14:16:00,1
2019-12-12 17:02:00,1
2019-12-12 18:39:00,1
2019-12-12 19:10:00,1
2019-12-12 20:37:00,1
2019-12-12 20:38:00,1
