117,"SELECT              spec.*             FROM SpecObjAll  as spec             JOIN fGetNearestSpecObjEq(#,#,             #)  as n ON n.specobjid = spec.specobjid                      ORDER by n.distance"
2019-04-11 03:53:00,39
2019-04-11 04:25:00,33
2019-04-11 04:26:00,6
2019-04-11 15:56:00,7
2019-04-11 15:57:00,32
