4013,"SELECT      n.distance,pz.*     FROM PhotoObjAll  as pz     JOIN dbo.fGetNearestObjEq( #,#,     #)      AS n ON pz.objid = n.objid     ORDER by n.distance"
2019-04-11 03:34:00,3
2019-04-11 03:35:00,99
2019-04-11 03:36:00,97
2019-04-11 03:37:00,100
2019-04-11 03:38:00,99
2019-04-11 03:39:00,67
2019-04-11 03:40:00,91
2019-04-11 03:41:00,99
2019-04-11 03:42:00,99
2019-04-11 03:43:00,86
2019-04-11 03:44:00,21
2019-04-11 03:45:00,31
2019-04-11 03:46:00,91
2019-04-11 03:47:00,16
2019-04-11 04:10:00,17
2019-04-11 04:11:00,97
2019-04-11 04:12:00,99
2019-04-11 04:13:00,97
2019-04-11 04:14:00,98
2019-04-11 04:15:00,58
2019-04-11 04:16:00,104
2019-04-11 04:17:00,102
2019-04-11 04:18:00,103
2019-04-11 04:19:00,103
2019-04-11 04:20:00,100
2019-04-11 04:21:00,21
2019-04-11 04:37:00,1
2019-04-11 14:44:00,1
2019-04-11 14:48:00,2
2019-04-11 14:50:00,2
2019-04-11 14:51:00,3
2019-04-11 14:52:00,1
2019-04-11 14:54:00,3
2019-04-11 15:11:00,63
2019-04-11 15:12:00,102
2019-04-11 15:13:00,103
2019-04-11 15:14:00,100
2019-04-11 15:15:00,99
2019-04-11 15:16:00,57
2019-04-11 15:17:00,99
2019-04-11 15:18:00,97
2019-04-11 15:19:00,97
2019-04-11 15:20:00,98
2019-04-11 15:21:00,87
2019-04-11 15:36:00,1
2019-04-11 15:41:00,94
2019-04-11 15:42:00,103
2019-04-11 15:43:00,102
2019-04-11 15:44:00,102
2019-04-11 15:45:00,64
2019-04-11 15:46:00,97
2019-04-11 15:47:00,102
2019-04-11 15:48:00,99
2019-04-11 15:49:00,99
2019-04-11 15:50:00,97
2019-04-11 15:51:00,40
