590,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-11 12:42:00,36
2019-04-11 12:43:00,19
2019-04-11 12:44:00,5
2019-04-11 12:48:00,19
2019-04-11 12:51:00,19
2019-04-11 12:53:00,7
2019-04-11 12:54:00,5
2019-04-11 12:57:00,22
2019-04-11 13:01:00,17
2019-04-11 13:02:00,2
2019-04-11 13:04:00,11
2019-04-11 13:07:00,12
2019-04-11 13:08:00,8
2019-04-11 13:09:00,14
2019-04-11 13:10:00,7
2019-04-11 13:11:00,1
2019-04-11 13:16:00,7
2019-04-11 13:17:00,14
2019-04-11 13:22:00,15
2019-04-11 13:25:00,20
2019-04-11 13:26:00,77
2019-04-11 13:28:00,48
2019-04-11 13:33:00,13
2019-04-11 13:41:00,8
2019-04-11 13:48:00,15
2019-04-11 13:50:00,4
2019-04-11 13:51:00,7
2019-04-11 13:52:00,13
2019-04-11 13:53:00,20
2019-04-11 13:54:00,17
2019-04-11 13:55:00,4
2019-04-11 14:06:00,29
2019-04-11 14:08:00,3
2019-04-11 14:09:00,2
2019-04-11 14:12:00,25
2019-04-11 14:13:00,24
2019-04-11 14:24:00,12
2019-04-11 14:32:00,9
