190,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-04-11 00:45:00,1
2019-04-11 01:45:00,1
2019-04-11 02:28:00,7
2019-04-11 02:45:00,1
2019-04-11 03:33:00,1
2019-04-11 03:35:00,1
2019-04-11 03:45:00,1
2019-04-11 04:20:00,9
2019-04-11 04:46:00,1
2019-04-11 04:48:00,7
2019-04-11 05:22:00,7
2019-04-11 05:45:00,1
2019-04-11 06:45:00,1
2019-04-11 07:46:00,1
2019-04-11 08:24:00,1
2019-04-11 08:47:00,1
2019-04-11 09:45:00,1
2019-04-11 10:15:00,9
2019-04-11 10:18:00,9
2019-04-11 10:19:00,9
2019-04-11 10:22:00,9
2019-04-11 10:45:00,1
2019-04-11 11:35:00,9
2019-04-11 11:46:00,1
2019-04-11 12:38:00,4
2019-04-11 12:39:00,5
2019-04-11 12:45:00,1
2019-04-11 13:39:00,2
2019-04-11 13:40:00,5
2019-04-11 13:41:00,9
2019-04-11 13:45:00,1
2019-04-11 14:08:00,7
2019-04-11 14:45:00,1
2019-04-11 14:56:00,5
2019-04-11 14:57:00,9
2019-04-11 15:26:00,10
2019-04-11 15:27:00,4
2019-04-11 15:51:00,1
2019-04-11 16:07:00,5
2019-04-11 16:21:00,9
2019-04-11 16:45:00,1
2019-04-11 16:47:00,2
2019-04-11 16:48:00,6
2019-04-11 16:49:00,1
2019-04-11 17:45:00,1
2019-04-11 18:19:00,9
2019-04-11 18:45:00,1
2019-04-11 19:45:00,1
