1950,"SELECT         o.objid,o.specobjid,o.ra,o.dec, pz.z,pz.zerr,pz.photoErrorClass         From PhotoObjAll as o         JOIN fGetNearbyObjEq( #,#, #) AS n ON o.objid = n.objid        JOIN Photoz AS pz ON n.objid=pz.objid        WHERE o.type = # and pz.photoErrorClass in (#,#,#, #) and pz.z > #        and pz.z < #"
2019-04-11 00:00:00,58
2019-04-11 00:01:00,59
2019-04-11 00:02:00,50
2019-04-11 00:03:00,48
2019-04-11 00:04:00,42
2019-04-11 00:05:00,43
2019-04-11 00:06:00,42
2019-04-11 00:07:00,36
2019-04-11 00:08:00,15
2019-04-11 00:09:00,14
2019-04-11 00:10:00,15
2019-04-11 00:11:00,14
2019-04-11 00:12:00,14
2019-04-11 00:13:00,14
2019-04-11 00:14:00,13
2019-04-11 00:15:00,13
2019-04-11 00:16:00,14
2019-04-11 00:17:00,13
2019-04-11 00:18:00,12
2019-04-11 00:19:00,13
2019-04-11 00:20:00,12
2019-04-11 00:21:00,11
2019-04-11 00:22:00,11
2019-04-11 00:23:00,12
2019-04-11 00:24:00,11
2019-04-11 00:25:00,12
2019-04-11 00:26:00,11
2019-04-11 00:27:00,11
2019-04-11 00:28:00,10
2019-04-11 00:29:00,10
2019-04-11 00:30:00,10
2019-04-11 00:31:00,11
2019-04-11 00:32:00,10
2019-04-11 00:33:00,10
2019-04-11 00:34:00,10
2019-04-11 00:35:00,10
2019-04-11 00:36:00,10
2019-04-11 00:37:00,10
2019-04-11 00:38:00,8
2019-04-11 00:39:00,10
2019-04-11 00:40:00,9
2019-04-11 00:41:00,9
2019-04-11 00:42:00,9
2019-04-11 00:43:00,9
2019-04-11 00:44:00,9
2019-04-11 00:45:00,9
2019-04-11 00:46:00,9
2019-04-11 00:47:00,8
2019-04-11 00:48:00,9
2019-04-11 00:49:00,8
2019-04-11 00:50:00,9
2019-04-11 00:51:00,8
2019-04-11 00:52:00,8
2019-04-11 00:53:00,9
2019-04-11 00:54:00,8
2019-04-11 00:55:00,8
2019-04-11 00:56:00,8
2019-04-11 00:57:00,8
2019-04-11 00:58:00,8
2019-04-11 00:59:00,8
2019-04-11 01:00:00,8
2019-04-11 01:01:00,7
2019-04-11 01:02:00,5
2019-04-11 16:06:00,3
2019-04-11 16:09:00,6
2019-04-11 16:10:00,3
2019-04-11 16:11:00,73
2019-04-11 16:12:00,68
2019-04-11 16:13:00,60
2019-04-11 16:14:00,54
2019-04-11 16:15:00,52
2019-04-11 16:16:00,47
2019-04-11 16:17:00,46
2019-04-11 16:18:00,35
2019-04-11 16:19:00,16
2019-04-11 16:20:00,16
2019-04-11 16:21:00,16
2019-04-11 16:22:00,15
2019-04-11 16:23:00,15
2019-04-11 16:24:00,14
2019-04-11 16:25:00,14
2019-04-11 16:26:00,14
2019-04-11 16:27:00,13
2019-04-11 16:28:00,14
2019-04-11 16:29:00,13
2019-04-11 16:30:00,12
2019-04-11 16:31:00,13
2019-04-11 16:32:00,12
2019-04-11 16:33:00,12
2019-04-11 16:34:00,12
2019-04-11 16:35:00,12
2019-04-11 16:36:00,11
2019-04-11 16:37:00,12
2019-04-11 16:38:00,11
2019-04-11 16:39:00,11
2019-04-11 16:40:00,12
2019-04-11 16:41:00,11
2019-04-11 16:42:00,10
2019-04-11 16:43:00,11
2019-04-11 16:44:00,10
2019-04-11 16:45:00,11
2019-04-11 16:46:00,10
2019-04-11 16:47:00,10
2019-04-11 16:48:00,10
2019-04-11 16:49:00,10
2019-04-11 16:50:00,10
2019-04-11 16:51:00,10
2019-04-11 16:52:00,10
2019-04-11 16:53:00,9
2019-04-11 16:54:00,10
2019-04-11 16:55:00,9
2019-04-11 16:56:00,9
2019-04-11 16:57:00,9
2019-04-11 16:58:00,9
2019-04-11 16:59:00,9
2019-04-11 17:00:00,9
2019-04-11 17:01:00,9
2019-04-11 17:02:00,8
2019-04-11 17:03:00,9
2019-04-11 17:04:00,8
2019-04-11 17:05:00,8
2019-04-11 17:06:00,9
2019-04-11 17:07:00,8
2019-04-11 17:08:00,9
2019-04-11 17:09:00,7
