33,select * from fDocFunctionParams(&&&)
2019-04-11 00:03:00,1
2019-04-11 00:50:00,1
2019-04-11 00:52:00,1
2019-04-11 01:05:00,1
2019-04-11 01:17:00,1
2019-04-11 01:55:00,1
2019-04-11 02:13:00,1
2019-04-11 02:22:00,1
2019-04-11 02:55:00,2
2019-04-11 03:14:00,1
2019-04-11 03:30:00,1
2019-04-11 04:15:00,1
2019-04-11 06:19:00,1
2019-04-11 06:43:00,1
2019-04-11 08:34:00,1
2019-04-11 09:05:00,2
2019-04-11 10:20:00,1
2019-04-11 11:23:00,1
2019-04-11 12:17:00,1
2019-04-11 13:14:00,1
2019-04-11 13:56:00,1
2019-04-11 15:26:00,1
2019-04-11 17:54:00,1
2019-04-11 18:06:00,1
2019-04-11 18:28:00,1
2019-04-11 19:05:00,1
2019-04-11 19:07:00,1
2019-04-11 20:14:00,1
2019-04-11 20:57:00,1
2019-04-11 21:31:00,1
2019-04-11 23:04:00,1
