3013,SELECT
2019-04-11 03:48:00,20
2019-04-11 03:49:00,103
2019-04-11 03:50:00,103
2019-04-11 03:51:00,102
2019-04-11 03:52:00,94
2019-04-11 03:53:00,64
2019-04-11 03:54:00,101
2019-04-11 03:55:00,102
2019-04-11 03:56:00,98
2019-04-11 03:57:00,103
2019-04-11 03:58:00,102
2019-04-11 04:21:00,82
2019-04-11 04:22:00,102
2019-04-11 04:23:00,103
2019-04-11 04:24:00,103
2019-04-11 04:25:00,73
2019-04-11 04:26:00,97
2019-04-11 04:27:00,102
2019-04-11 04:28:00,97
2019-04-11 04:29:00,101
2019-04-11 04:30:00,103
2019-04-11 04:31:00,29
2019-04-11 15:34:00,2
2019-04-11 15:35:00,35
2019-04-11 15:52:00,59
2019-04-11 15:53:00,104
2019-04-11 15:54:00,103
2019-04-11 15:55:00,101
2019-04-11 15:56:00,96
2019-04-11 15:57:00,76
2019-04-11 15:58:00,103
2019-04-11 15:59:00,101
2019-04-11 16:00:00,94
2019-04-11 16:01:00,99
2019-04-11 16:02:00,56
