174,"SELECT          n.distance,pz.*         FROM PhotoObjAll  as pz         JOIN dbo.fGetNearestObjEq( #,#,         #)          AS n ON pz.objid = n.objid         ORDER by n.distance"
2019-04-11 03:39:00,32
2019-04-11 03:40:00,7
2019-04-11 04:10:00,1
2019-04-11 04:15:00,44
2019-04-11 15:11:00,1
2019-04-11 15:16:00,44
2019-04-11 15:41:00,1
2019-04-11 15:45:00,40
2019-04-11 15:46:00,4
