19,"select b.apogee_id, dbo.fApogeeStarFlagN(m.starflag) as starflag,dbo.fApogeeAspcapFlagN(a.aspcapflag) as ascapflag,a.teff,a.teff_err,a.logg,a.logg_err,a.fe_h,a.fe_h_err,a.alpha_m,a.alpha_m_err,m.vhelio_avg,m.vscatter,dbo.fApogeeTarget1N(m.apogee_target1) as target1,dbo.fApogeeTarget2N(m.apogee_target2) as target2,m.commiss,p.ra,p.dec,m.glon,m.glat,p.apogee_id,m.apstar_id,p.j,p.j_err,p.h,p.h_err,p.k,p.k_err, p.irac_#_#, p.irac_#_#_err, p.src_#_# from apogeeObject p, apogeeStar m, aspcapStar a, dbo.fGetNearbyApogeeStarEq(#,#,#) b where p.apogee_id=b.apogee_id and a.apogee_id=b.apogee_id and m.apogee_id=b.apogee_id"
2019-04-11 14:14:00,1
2019-04-11 14:17:00,1
2019-04-11 14:21:00,1
2019-04-11 14:24:00,1
2019-04-11 14:42:00,2
2019-04-11 14:47:00,1
2019-04-11 14:48:00,2
2019-04-11 14:50:00,1
2019-04-11 14:57:00,2
2019-04-11 14:58:00,1
2019-04-11 15:04:00,4
2019-04-11 18:09:00,1
2019-04-11 18:10:00,1
