241,"SELECT p.objid, p.ra, p.dec, f.fieldid, p.field, p.InsideMask, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.type, f.quality, p.specObjID FROM PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid WHERE (clean = #) AND ((f.quality = #) OR (f.quality = #)) AND (p.type = dbo.fPhotoType(&&&) OR p.type = dbo.fPhotoType(&&&)) AND (p.ra BETWEEN # AND #) AND p.dec BETWEEN # AND # AND ((p.InsideMask = #) OR (p.InsideMask = #) OR (p.InsideMask = #)) AND (#/p.err_u > #) AND (#/p.err_g > #) AND (#/p.err_r > #) AND (#/p.err_i > #) AND (#/p.err_z > #)"
2019-07-03 11:37:00,5
2019-07-03 11:38:00,1
2019-07-03 14:57:00,1
2019-07-03 14:58:00,5
2019-07-03 15:05:00,5
2019-07-03 15:06:00,1
2019-07-03 15:10:00,5
2019-07-03 15:11:00,1
2019-07-03 15:19:00,5
2019-07-03 15:20:00,1
2019-07-03 15:24:00,3
2019-07-03 15:25:00,3
2019-07-03 15:37:00,1
2019-07-03 15:38:00,5
2019-07-03 15:45:00,3
2019-07-03 15:46:00,3
2019-07-03 15:51:00,3
2019-07-03 15:52:00,3
2019-07-03 16:19:00,4
2019-07-03 16:20:00,2
2019-07-03 16:27:00,5
2019-07-03 16:28:00,1
2019-07-03 16:34:00,6
2019-07-03 16:39:00,6
2019-07-03 17:25:00,3
2019-07-03 17:26:00,12
2019-07-03 17:27:00,21
2019-07-03 17:28:00,13
2019-07-03 17:29:00,4
2019-07-03 17:30:00,7
2019-07-03 17:31:00,5
2019-07-03 17:39:00,6
2019-07-03 17:44:00,2
2019-07-03 17:49:00,3
2019-07-03 17:50:00,3
2019-07-03 21:54:00,7
2019-07-03 21:55:00,7
2019-07-03 21:56:00,4
2019-07-03 22:00:00,1
2019-07-03 22:01:00,3
2019-07-03 22:02:00,2
2019-07-03 22:14:00,5
2019-07-03 22:15:00,9
2019-07-03 22:16:00,9
2019-07-03 22:17:00,1
2019-07-03 22:34:00,2
2019-07-03 22:35:00,3
2019-07-03 22:36:00,1
2019-07-03 23:38:00,5
2019-07-03 23:39:00,15
2019-07-03 23:40:00,9
2019-07-03 23:41:00,1
