2,"select s.cluster,s.ra as sra,s.dec as sdec,s.objid,p.ra,p.dec,p.cModelMag_i-p.extinction_i,cModelMagErr_i,p.cModelMag_r-p.extinction_r,cModelMagErr_r,p.specobjID,p.type,p.clean,q.z,q.zErr from MyDB.codexobjID as s , PhotoObjAll as p, Photoz as q into codex_with_ra_dec_pz_new where s.objid=p.objID And s.objid=q.objID"
2019-07-03 08:55:00,1
2019-07-03 08:56:00,1
