2882,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-07-03 05:01:00,6
2019-07-03 05:02:00,14
2019-07-03 05:03:00,1
2019-07-03 05:10:00,10
2019-07-03 05:11:00,13
2019-07-03 05:12:00,2
2019-07-03 17:08:00,2
2019-07-03 17:10:00,3
2019-07-03 17:11:00,2
2019-07-03 17:12:00,76
2019-07-03 17:13:00,105
2019-07-03 17:14:00,78
2019-07-03 17:15:00,66
2019-07-03 17:16:00,65
2019-07-03 17:17:00,67
2019-07-03 17:18:00,68
2019-07-03 17:19:00,67
2019-07-03 17:20:00,64
2019-07-03 17:21:00,65
2019-07-03 17:22:00,67
2019-07-03 17:23:00,67
2019-07-03 17:24:00,66
2019-07-03 17:25:00,59
2019-07-03 17:26:00,50
2019-07-03 17:27:00,52
2019-07-03 17:28:00,59
2019-07-03 17:29:00,27
2019-07-03 17:30:00,68
2019-07-03 17:31:00,67
2019-07-03 17:32:00,66
2019-07-03 17:33:00,66
2019-07-03 17:34:00,66
2019-07-03 17:35:00,68
2019-07-03 17:36:00,66
2019-07-03 17:37:00,62
2019-07-03 17:38:00,55
2019-07-03 17:39:00,61
2019-07-03 17:40:00,61
2019-07-03 17:41:00,61
2019-07-03 17:42:00,61
2019-07-03 17:43:00,67
2019-07-03 17:44:00,7
2019-07-03 17:46:00,35
2019-07-03 17:47:00,71
2019-07-03 17:48:00,60
2019-07-03 17:53:00,152
2019-07-03 17:54:00,182
2019-07-03 17:55:00,150
2019-07-03 17:56:00,109
