37,"select s.ObjID,s.class,s.subclass,s.z,s.zErr,s.type from SpecPhoto s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-07-03 04:50:00,1
2019-07-03 15:09:00,1
2019-07-03 19:26:00,1
2019-07-03 19:28:00,1
2019-07-03 19:43:00,2
2019-07-03 19:46:00,1
2019-07-03 19:47:00,1
2019-07-03 19:48:00,1
2019-07-03 19:49:00,1
2019-07-03 19:53:00,1
2019-07-03 19:55:00,1
2019-07-03 20:00:00,1
2019-07-03 20:03:00,1
2019-07-03 20:07:00,1
2019-07-03 20:22:00,2
2019-07-03 20:25:00,1
2019-07-03 20:30:00,1
2019-07-03 20:36:00,1
2019-07-03 20:40:00,1
2019-07-03 20:41:00,1
2019-07-03 20:45:00,1
2019-07-03 20:53:00,1
2019-07-03 20:58:00,2
2019-07-03 21:01:00,1
2019-07-03 21:03:00,1
2019-07-03 21:05:00,1
2019-07-03 21:10:00,1
2019-07-03 21:15:00,1
2019-07-03 21:17:00,1
2019-07-03 21:21:00,1
2019-07-03 21:22:00,1
2019-07-03 21:24:00,1
2019-07-03 21:25:00,1
2019-07-03 21:30:00,1
